Accuracy: 0.6158192096456969, with batch_size 16, epochs 15, optimizer adam, dropout 0.1, neurons 64
Accuracy: 0.6158192097130468, with batch_size 16, epochs 15, optimizer adam, dropout 0.1, neurons 128
Accuracy: 0.6282485881767704, with batch_size 16, epochs 15, optimizer adagrad, dropout 0.1, neurons 64
Accuracy: 0.6248587576682958, with batch_size 16, epochs 15, optimizer adagrad, dropout 0.1, neurons 128
Accuracy: 0.5932203391514256, with batch_size 16, epochs 30, optimizer adam, dropout 0.1, neurons 64
Accuracy: 0.641807910008619, with batch_size 16, epochs 30, optimizer adam, dropout 0.1, neurons 128
Accuracy: 0.6203389831518723, with batch_size 16, epochs 30, optimizer adagrad, dropout 0.1, neurons 64
Accuracy: 0.6022598874770989, with batch_size 16, epochs 30, optimizer adagrad, dropout 0.1, neurons 128
Accuracy: 0.6203389837243463, with batch_size 16, epochs 15, optimizer adam, dropout 0.3, neurons 64
Accuracy: 0.6135593227073971, with batch_size 16, epochs 15, optimizer adam, dropout 0.3, neurons 128
Accuracy: 0.6146892655703982, with batch_size 16, epochs 15, optimizer adagrad, dropout 0.3, neurons 64
Accuracy: 0.6282485881767704, with batch_size 16, epochs 15, optimizer adagrad, dropout 0.3, neurons 128
Accuracy: 0.6045197740449744, with batch_size 16, epochs 30, optimizer adam, dropout 0.3, neurons 64
Accuracy: 0.6045197746847982, with batch_size 16, epochs 30, optimizer adam, dropout 0.3, neurons 128
Accuracy: 0.6079096051932729, with batch_size 16, epochs 30, optimizer adagrad, dropout 0.3, neurons 64
Accuracy: 0.6293785316795952, with batch_size 16, epochs 30, optimizer adagrad, dropout 0.3, neurons 128
Accuracy: 0.6169491532158717, with batch_size 32, epochs 15, optimizer adam, dropout 0.1, neurons 64
Accuracy: 0.6248587577356457, with batch_size 32, epochs 15, optimizer adam, dropout 0.1, neurons 128
Accuracy: 0.606779661623098, with batch_size 32, epochs 15, optimizer adagrad, dropout 0.1, neurons 64
Accuracy: 0.5728813566057022, with batch_size 32, epochs 15, optimizer adagrad, dropout 0.1, neurons 128
Accuracy: 0.6180790960788727, with batch_size 32, epochs 30, optimizer adam, dropout 0.1, neurons 64
Accuracy: 0.572881356167928, with batch_size 32, epochs 30, optimizer adam, dropout 0.1, neurons 128
Accuracy: 0.6022598870393246, with batch_size 32, epochs 30, optimizer adagrad, dropout 0.1, neurons 64
Accuracy: 0.6248587577356457, with batch_size 32, epochs 30, optimizer adagrad, dropout 0.1, neurons 128
Accuracy: 0.622598870729996, with batch_size 32, epochs 15, optimizer adam, dropout 0.3, neurons 64
Accuracy: 0.6056497181876231, with batch_size 32, epochs 15, optimizer adam, dropout 0.3, neurons 128
Accuracy: 0.6135593227073971, with batch_size 32, epochs 15, optimizer adagrad, dropout 0.3, neurons 64
Accuracy: 0.6192090402215215, with batch_size 32, epochs 15, optimizer adagrad, dropout 0.3, neurons 128
Accuracy: 0.6158192097130468, with batch_size 32, epochs 30, optimizer adam, dropout 0.3, neurons 64
Accuracy: 0.6203389836569964, with batch_size 32, epochs 30, optimizer adam, dropout 0.3, neurons 128
Accuracy: 0.5807909610581263, with batch_size 32, epochs 30, optimizer adagrad, dropout 0.3, neurons 64
Accuracy: 0.6282485882441203, with batch_size 32, epochs 30, optimizer adagrad, dropout 0.3, neurons 128
