Accuracy: 0.6062906730976643, with batch_size 16, epochs 15, optimizer adam, dropout 0.1, neurons 64
Accuracy: 0.6203904551435706, with batch_size 16, epochs 15, optimizer adam, dropout 0.1, neurons 128
Accuracy: 0.6193058564450891, with batch_size 16, epochs 15, optimizer adagrad, dropout 0.1, neurons 64
Accuracy: 0.6095444681587551, with batch_size 16, epochs 15, optimizer adagrad, dropout 0.1, neurons 128
Accuracy: 0.5368763558130202, with batch_size 16, epochs 30, optimizer adam, dropout 0.1, neurons 64
Accuracy: 0.6203904551435706, with batch_size 16, epochs 30, optimizer adam, dropout 0.1, neurons 128
Accuracy: 0.6659436013848559, with batch_size 16, epochs 30, optimizer adagrad, dropout 0.1, neurons 64
Accuracy: 0.6182212577466075, with batch_size 16, epochs 30, optimizer adagrad, dropout 0.1, neurons 128
Accuracy: 0.6203904551435706, with batch_size 16, epochs 15, optimizer adam, dropout 0.3, neurons 64
Accuracy: 0.6182212577466075, with batch_size 16, epochs 15, optimizer adam, dropout 0.3, neurons 128
Accuracy: 0.6203904551435706, with batch_size 16, epochs 15, optimizer adagrad, dropout 0.3, neurons 64
Accuracy: 0.6203904551435706, with batch_size 16, epochs 15, optimizer adagrad, dropout 0.3, neurons 128
Accuracy: 0.6203904551435706, with batch_size 16, epochs 30, optimizer adam, dropout 0.3, neurons 64
Accuracy: 0.6203904551435706, with batch_size 16, epochs 30, optimizer adam, dropout 0.3, neurons 128
Accuracy: 0.6193058573501488, with batch_size 16, epochs 30, optimizer adagrad, dropout 0.3, neurons 64
Accuracy: 0.6030368770022195, with batch_size 16, epochs 30, optimizer adagrad, dropout 0.3, neurons 128
Accuracy: 0.6301518434299047, with batch_size 32, epochs 15, optimizer adam, dropout 0.1, neurons 64
Accuracy: 0.617136659048126, with batch_size 32, epochs 15, optimizer adam, dropout 0.1, neurons 128
Accuracy: 0.6268980481102254, with batch_size 32, epochs 15, optimizer adagrad, dropout 0.1, neurons 64
Accuracy: 0.6735357922742269, with batch_size 32, epochs 15, optimizer adagrad, dropout 0.1, neurons 128
Accuracy: 0.6203904551435706, with batch_size 32, epochs 30, optimizer adam, dropout 0.1, neurons 64
Accuracy: 0.6203904551435706, with batch_size 32, epochs 30, optimizer adam, dropout 0.1, neurons 128
Accuracy: 0.6203904551435706, with batch_size 32, epochs 30, optimizer adagrad, dropout 0.1, neurons 64
Accuracy: 0.6160520603496444, with batch_size 32, epochs 30, optimizer adagrad, dropout 0.1, neurons 128
Accuracy: 0.6203904551435706, with batch_size 32, epochs 15, optimizer adam, dropout 0.3, neurons 64
Accuracy: 0.6203904551435706, with batch_size 32, epochs 15, optimizer adam, dropout 0.3, neurons 128
Accuracy: 0.6203904551435706, with batch_size 32, epochs 15, optimizer adagrad, dropout 0.3, neurons 64
Accuracy: 0.6160520603496444, with batch_size 32, epochs 15, optimizer adagrad, dropout 0.3, neurons 128
Accuracy: 0.6203904551435706, with batch_size 32, epochs 30, optimizer adam, dropout 0.3, neurons 64
Accuracy: 0.6203904551435706, with batch_size 32, epochs 30, optimizer adam, dropout 0.3, neurons 128
Accuracy: 0.6626898043843515, with batch_size 32, epochs 30, optimizer adagrad, dropout 0.3, neurons 64
Accuracy: 0.6616052064616355, with batch_size 32, epochs 30, optimizer adagrad, dropout 0.3, neurons 128
