Accuracy: 0.7409836073390773, with batch_size 16, epochs 15, optimizer adam, dropout 0.1, neurons 64
Accuracy: 0.7540983612420129, with batch_size 16, epochs 15, optimizer adam, dropout 0.1, neurons 128
Accuracy: 0.6229508208446816, with batch_size 16, epochs 15, optimizer adagrad, dropout 0.1, neurons 64
Accuracy: 0.5868852470741898, with batch_size 16, epochs 15, optimizer adagrad, dropout 0.1, neurons 128
Accuracy: 0.7016393454348455, with batch_size 16, epochs 30, optimizer adam, dropout 0.1, neurons 64
Accuracy: 0.5803278700250094, with batch_size 16, epochs 30, optimizer adam, dropout 0.1, neurons 128
Accuracy: 0.714754098946931, with batch_size 16, epochs 30, optimizer adagrad, dropout 0.1, neurons 64
Accuracy: 0.7016393450439954, with batch_size 16, epochs 30, optimizer adagrad, dropout 0.1, neurons 128
Accuracy: 0.7508196727174228, with batch_size 16, epochs 15, optimizer adam, dropout 0.3, neurons 64
Accuracy: 0.5803278700250094, with batch_size 16, epochs 15, optimizer adam, dropout 0.3, neurons 128
Accuracy: 0.6557377060905831, with batch_size 16, epochs 15, optimizer adagrad, dropout 0.3, neurons 64
Accuracy: 0.5803278700250094, with batch_size 16, epochs 15, optimizer adagrad, dropout 0.3, neurons 128
Accuracy: 0.7245901651069766, with batch_size 16, epochs 30, optimizer adam, dropout 0.3, neurons 64
Accuracy: 0.5803278700250094, with batch_size 16, epochs 30, optimizer adam, dropout 0.3, neurons 128
Accuracy: 0.6491803292368279, with batch_size 16, epochs 30, optimizer adagrad, dropout 0.3, neurons 64
Accuracy: 0.5803278700250094, with batch_size 16, epochs 30, optimizer adagrad, dropout 0.3, neurons 128
Accuracy: 0.6950819683856652, with batch_size 32, epochs 15, optimizer adam, dropout 0.1, neurons 64
Accuracy: 0.5803278700250094, with batch_size 32, epochs 15, optimizer adam, dropout 0.1, neurons 128
Accuracy: 0.6950819683856652, with batch_size 32, epochs 15, optimizer adagrad, dropout 0.1, neurons 64
Accuracy: 0.5803278700250094, with batch_size 32, epochs 15, optimizer adagrad, dropout 0.1, neurons 128
Accuracy: 0.6786885255672893, with batch_size 32, epochs 30, optimizer adam, dropout 0.1, neurons 64
Accuracy: 0.5803278700250094, with batch_size 32, epochs 30, optimizer adam, dropout 0.1, neurons 128
Accuracy: 0.7180327878623712, with batch_size 32, epochs 30, optimizer adagrad, dropout 0.1, neurons 64
Accuracy: 0.5803278700250094, with batch_size 32, epochs 30, optimizer adagrad, dropout 0.1, neurons 128
Accuracy: 0.7606557380957681, with batch_size 32, epochs 15, optimizer adam, dropout 0.3, neurons 64
Accuracy: 0.5803278700250094, with batch_size 32, epochs 15, optimizer adam, dropout 0.3, neurons 128
Accuracy: 0.6819672142873044, with batch_size 32, epochs 15, optimizer adagrad, dropout 0.3, neurons 64
Accuracy: 0.6393442634676324, with batch_size 32, epochs 15, optimizer adagrad, dropout 0.3, neurons 128
Accuracy: 0.7311475417653068, with batch_size 32, epochs 30, optimizer adam, dropout 0.3, neurons 64
Accuracy: 0.7344262304853221, with batch_size 32, epochs 30, optimizer adam, dropout 0.3, neurons 128
Accuracy: 0.6524590179568431, with batch_size 32, epochs 30, optimizer adagrad, dropout 0.3, neurons 64
Accuracy: 0.6885245913364848, with batch_size 32, epochs 30, optimizer adagrad, dropout 0.3, neurons 128
