Accuracy: 0.7542662120109532, with batch_size 16, epochs 15, optimizer adam, dropout 0.1, neurons 64
Accuracy: 0.5631399321474719, with batch_size 16, epochs 15, optimizer adam, dropout 0.1, neurons 128
Accuracy: 0.7201365191781887, with batch_size 16, epochs 15, optimizer adagrad, dropout 0.1, neurons 64
Accuracy: 0.7201365191781887, with batch_size 16, epochs 15, optimizer adagrad, dropout 0.1, neurons 128
Accuracy: 0.7508532427276767, with batch_size 16, epochs 30, optimizer adam, dropout 0.1, neurons 64
Accuracy: 0.6928327649119771, with batch_size 16, epochs 30, optimizer adam, dropout 0.1, neurons 128
Accuracy: 0.7474402734444003, with batch_size 16, epochs 30, optimizer adagrad, dropout 0.1, neurons 64
Accuracy: 0.6382252560744106, with batch_size 16, epochs 30, optimizer adagrad, dropout 0.1, neurons 128
Accuracy: 0.6040955633433606, with batch_size 16, epochs 15, optimizer adam, dropout 0.3, neurons 64
Accuracy: 0.5665529012273196, with batch_size 16, epochs 15, optimizer adam, dropout 0.3, neurons 128
Accuracy: 0.7269624577447416, with batch_size 16, epochs 15, optimizer adagrad, dropout 0.3, neurons 64
Accuracy: 0.7064846420450829, with batch_size 16, epochs 15, optimizer adagrad, dropout 0.3, neurons 128
Accuracy: 0.730375427028018, with batch_size 16, epochs 30, optimizer adam, dropout 0.3, neurons 64
Accuracy: 0.6928327649119771, with batch_size 16, epochs 30, optimizer adam, dropout 0.3, neurons 128
Accuracy: 0.737201365594571, with batch_size 16, epochs 30, optimizer adagrad, dropout 0.3, neurons 64
Accuracy: 0.69965870347853, with batch_size 16, epochs 30, optimizer adagrad, dropout 0.3, neurons 128
Accuracy: 0.6655290106457655, with batch_size 32, epochs 15, optimizer adam, dropout 0.1, neurons 64
Accuracy: 0.5665529014307484, with batch_size 32, epochs 15, optimizer adam, dropout 0.1, neurons 128
Accuracy: 0.6313993176095721, with batch_size 32, epochs 15, optimizer adagrad, dropout 0.1, neurons 64
Accuracy: 0.7133105806116358, with batch_size 32, epochs 15, optimizer adagrad, dropout 0.1, neurons 128
Accuracy: 0.7337883963112946, with batch_size 32, epochs 30, optimizer adam, dropout 0.1, neurons 64
Accuracy: 0.7269624577447416, with batch_size 32, epochs 30, optimizer adam, dropout 0.1, neurons 128
Accuracy: 0.6723549492123184, with batch_size 32, epochs 30, optimizer adagrad, dropout 0.1, neurons 64
Accuracy: 0.6416382256628304, with batch_size 32, epochs 30, optimizer adagrad, dropout 0.1, neurons 128
Accuracy: 0.6996587032751012, with batch_size 32, epochs 15, optimizer adam, dropout 0.3, neurons 64
Accuracy: 0.6825938568587189, with batch_size 32, epochs 15, optimizer adam, dropout 0.3, neurons 128
Accuracy: 0.6279863483262957, with batch_size 32, epochs 15, optimizer adagrad, dropout 0.3, neurons 64
Accuracy: 0.5904436864136836, with batch_size 32, epochs 15, optimizer adagrad, dropout 0.3, neurons 128
Accuracy: 0.576791809077149, with batch_size 32, epochs 30, optimizer adam, dropout 0.3, neurons 64
Accuracy: 0.5665529012273196, with batch_size 32, epochs 30, optimizer adam, dropout 0.3, neurons 128
Accuracy: 0.7542662120109532, with batch_size 32, epochs 30, optimizer adagrad, dropout 0.3, neurons 64
Accuracy: 0.6552901027959361, with batch_size 32, epochs 30, optimizer adagrad, dropout 0.3, neurons 128
