Accuracy: 0.304918033470873, with batch_size 16, epochs 15, optimizer adam, dropout 0.1, neurons 64
Accuracy: 0.20983606625775822, with batch_size 16, epochs 15, optimizer adam, dropout 0.1, neurons 128
Accuracy: 0.3081967218000381, with batch_size 16, epochs 15, optimizer adagrad, dropout 0.1, neurons 64
Accuracy: 0.24590164002825002, with batch_size 16, epochs 15, optimizer adagrad, dropout 0.1, neurons 128
Accuracy: 0.34754098409512, with batch_size 16, epochs 30, optimizer adam, dropout 0.1, neurons 64
Accuracy: 0.33442622999675936, with batch_size 16, epochs 30, optimizer adam, dropout 0.1, neurons 128
Accuracy: 0.3081967218000381, with batch_size 16, epochs 30, optimizer adagrad, dropout 0.1, neurons 64
Accuracy: 0.28524590193248184, with batch_size 16, epochs 30, optimizer adagrad, dropout 0.1, neurons 128
Accuracy: 0.2065573770980366, with batch_size 16, epochs 15, optimizer adam, dropout 0.3, neurons 64
Accuracy: 0.2786885246390202, with batch_size 16, epochs 15, optimizer adam, dropout 0.3, neurons 128
Accuracy: 0.2557377049668891, with batch_size 16, epochs 15, optimizer adagrad, dropout 0.3, neurons 64
Accuracy: 0.20655737773316807, with batch_size 16, epochs 15, optimizer adagrad, dropout 0.3, neurons 128
Accuracy: 0.37377049229184134, with batch_size 16, epochs 30, optimizer adam, dropout 0.3, neurons 64
Accuracy: 0.3704918039626762, with batch_size 16, epochs 30, optimizer adam, dropout 0.3, neurons 128
Accuracy: 0.30163934431115136, with batch_size 16, epochs 30, optimizer adagrad, dropout 0.3, neurons 64
Accuracy: 0.23606557445447954, with batch_size 16, epochs 30, optimizer adagrad, dropout 0.3, neurons 128
Accuracy: 0.268852459114106, with batch_size 32, epochs 15, optimizer adam, dropout 0.1, neurons 64
Accuracy: 0.20983606625775822, with batch_size 32, epochs 15, optimizer adam, dropout 0.1, neurons 128
Accuracy: 0.21967213119639725, with batch_size 32, epochs 15, optimizer adagrad, dropout 0.1, neurons 64
Accuracy: 0.2688524590652497, with batch_size 32, epochs 15, optimizer adagrad, dropout 0.1, neurons 128
Accuracy: 0.3475409842905451, with batch_size 32, epochs 30, optimizer adam, dropout 0.1, neurons 64
Accuracy: 0.2754098363098551, with batch_size 32, epochs 30, optimizer adam, dropout 0.1, neurons 128
Accuracy: 0.28196721316361034, with batch_size 32, epochs 30, optimizer adagrad, dropout 0.1, neurons 64
Accuracy: 0.23278688527032979, with batch_size 32, epochs 30, optimizer adagrad, dropout 0.1, neurons 128
Accuracy: 0.26557377054065956, with batch_size 32, epochs 15, optimizer adam, dropout 0.3, neurons 64
Accuracy: 0.27540983635871136, with batch_size 32, epochs 15, optimizer adam, dropout 0.3, neurons 128
Accuracy: 0.213114754342642, with batch_size 32, epochs 15, optimizer adagrad, dropout 0.3, neurons 64
Accuracy: 0.19016393467051085, with batch_size 32, epochs 15, optimizer adagrad, dropout 0.3, neurons 128
Accuracy: 0.3409836068016584, with batch_size 32, epochs 30, optimizer adam, dropout 0.3, neurons 64
Accuracy: 0.19016393467051085, with batch_size 32, epochs 30, optimizer adam, dropout 0.3, neurons 128
Accuracy: 0.2852459016882005, with batch_size 32, epochs 30, optimizer adagrad, dropout 0.3, neurons 64
Accuracy: 0.2590163941266107, with batch_size 32, epochs 30, optimizer adagrad, dropout 0.3, neurons 128
