Accuracy: 0.19414316735143516, with batch_size 16, optimizer adam, epochs 15, neurons 64, dropout 0.1
Accuracy: 0.18221258137722596, with batch_size 16, optimizer adam, epochs 30, neurons 64, dropout 0.1
Accuracy: 0.20932754919482416, with batch_size 16, optimizer adam, epochs 15, neurons 128, dropout 0.1
Accuracy: 0.20498915433625078, with batch_size 16, optimizer adam, epochs 30, neurons 128, dropout 0.1
Accuracy: 0.2039045556377692, with batch_size 16, optimizer adagrad, epochs 15, neurons 64, dropout 0.1
Accuracy: 0.1908893713206376, with batch_size 16, optimizer adagrad, epochs 30, neurons 64, dropout 0.1
Accuracy: 0.20932754913017704, with batch_size 16, optimizer adagrad, epochs 15, neurons 128, dropout 0.1
Accuracy: 0.1822125817327851, with batch_size 16, optimizer adagrad, epochs 30, neurons 128, dropout 0.1
Accuracy: 0.1908893713206376, with batch_size 16, optimizer adam, epochs 15, neurons 64, dropout 0.3
Accuracy: 0.1930585686529536, with batch_size 16, optimizer adam, epochs 30, neurons 64, dropout 0.3
Accuracy: 0.17353579214493262, with batch_size 16, optimizer adam, epochs 15, neurons 128, dropout 0.3
Accuracy: 0.20173535830545322, with batch_size 16, optimizer adam, epochs 30, neurons 128, dropout 0.3
Accuracy: 0.18763557522519292, with batch_size 16, optimizer adagrad, epochs 15, neurons 64, dropout 0.3
Accuracy: 0.1822125817327851, with batch_size 16, optimizer adagrad, epochs 30, neurons 64, dropout 0.3
Accuracy: 0.20607375272765852, with batch_size 16, optimizer adagrad, epochs 15, neurons 128, dropout 0.3
Accuracy: 0.16811279858787767, with batch_size 16, optimizer adagrad, epochs 30, neurons 128, dropout 0.3
Accuracy: 0.21691973979328305, with batch_size 32, optimizer adam, epochs 15, neurons 64, dropout 0.1
Accuracy: 0.18438177906510111, with batch_size 32, optimizer adam, epochs 30, neurons 64, dropout 0.1
Accuracy: 0.19739696344687985, with batch_size 32, optimizer adam, epochs 15, neurons 128, dropout 0.1
Accuracy: 0.2039045555731221, with batch_size 32, optimizer adam, epochs 30, neurons 128, dropout 0.1
Accuracy: 0.21583514125641928, with batch_size 32, optimizer adagrad, epochs 15, neurons 64, dropout 0.1
Accuracy: 0.20498915427160366, with batch_size 32, optimizer adagrad, epochs 30, neurons 64, dropout 0.1
Accuracy: 0.19739696351152697, with batch_size 32, optimizer adagrad, epochs 15, neurons 128, dropout 0.1
Accuracy: 0.19739696344687985, with batch_size 32, optimizer adagrad, epochs 30, neurons 128, dropout 0.1
Accuracy: 0.19739696344687985, with batch_size 32, optimizer adam, epochs 15, neurons 64, dropout 0.3
Accuracy: 0.18872017385902737, with batch_size 32, optimizer adam, epochs 30, neurons 64, dropout 0.3
Accuracy: 0.19305856836204158, with batch_size 32, optimizer adam, epochs 15, neurons 128, dropout 0.3
Accuracy: 0.19305856858830647, with batch_size 32, optimizer adam, epochs 30, neurons 128, dropout 0.3
Accuracy: 0.2006507594776774, with batch_size 32, optimizer adagrad, epochs 15, neurons 64, dropout 0.3
Accuracy: 0.18872017363276244, with batch_size 32, optimizer adagrad, epochs 30, neurons 64, dropout 0.3
Accuracy: 0.1898047725575089, with batch_size 32, optimizer adagrad, epochs 15, neurons 128, dropout 0.3
Accuracy: 0.18438177906510111, with batch_size 32, optimizer adagrad, epochs 30, neurons 128, dropout 0.3
