accuracy,batch_size,dropout,epochs,neurons,optimizer
0.6158192096456969,16,0.1,15,64,adam
0.6158192097130468,16,0.1,15,128,adam
0.6282485881767704,16,0.1,15,64,adagrad
0.6248587576682958,16,0.1,15,128,adagrad
0.5932203391514256,16,0.1,30,64,adam
0.641807910008619,16,0.1,30,128,adam
0.6203389831518723,16,0.1,30,64,adagrad
0.6022598874770989,16,0.1,30,128,adagrad
0.6203389837243463,16,0.3,15,64,adam
0.6135593227073971,16,0.3,15,128,adam
0.6146892655703982,16,0.3,15,64,adagrad
0.6282485881767704,16,0.3,15,128,adagrad
0.6045197740449744,16,0.3,30,64,adam
0.6045197746847982,16,0.3,30,128,adam
0.6079096051932729,16,0.3,30,64,adagrad
0.6293785316795952,16,0.3,30,128,adagrad
0.6169491532158717,32,0.1,15,64,adam
0.6248587577356457,32,0.1,15,128,adam
0.606779661623098,32,0.1,15,64,adagrad
0.5728813566057022,32,0.1,15,128,adagrad
0.6180790960788727,32,0.1,30,64,adam
0.572881356167928,32,0.1,30,128,adam
0.6022598870393246,32,0.1,30,64,adagrad
0.6248587577356457,32,0.1,30,128,adagrad
0.622598870729996,32,0.3,15,64,adam
0.6056497181876231,32,0.3,15,128,adam
0.6135593227073971,32,0.3,15,64,adagrad
0.6192090402215215,32,0.3,15,128,adagrad
0.6158192097130468,32,0.3,30,64,adam
0.6203389836569964,32,0.3,30,128,adam
0.5807909610581263,32,0.3,30,64,adagrad
0.6282485882441203,32,0.3,30,128,adagrad
