accuracy,batch_size,dropout,epochs,neurons,optimizer
0.6062906730976643,16,0.1,15,64,adam
0.6203904551435706,16,0.1,15,128,adam
0.6193058564450891,16,0.1,15,64,adagrad
0.6095444681587551,16,0.1,15,128,adagrad
0.5368763558130202,16,0.1,30,64,adam
0.6203904551435706,16,0.1,30,128,adam
0.6659436013848559,16,0.1,30,64,adagrad
0.6182212577466075,16,0.1,30,128,adagrad
0.6203904551435706,16,0.3,15,64,adam
0.6182212577466075,16,0.3,15,128,adam
0.6203904551435706,16,0.3,15,64,adagrad
0.6203904551435706,16,0.3,15,128,adagrad
0.6203904551435706,16,0.3,30,64,adam
0.6203904551435706,16,0.3,30,128,adam
0.6193058573501488,16,0.3,30,64,adagrad
0.6030368770022195,16,0.3,30,128,adagrad
0.6301518434299047,32,0.1,15,64,adam
0.617136659048126,32,0.1,15,128,adam
0.6268980481102254,32,0.1,15,64,adagrad
0.6735357922742269,32,0.1,15,128,adagrad
0.6203904551435706,32,0.1,30,64,adam
0.6203904551435706,32,0.1,30,128,adam
0.6203904551435706,32,0.1,30,64,adagrad
0.6160520603496444,32,0.1,30,128,adagrad
0.6203904551435706,32,0.3,15,64,adam
0.6203904551435706,32,0.3,15,128,adam
0.6203904551435706,32,0.3,15,64,adagrad
0.6160520603496444,32,0.3,15,128,adagrad
0.6203904551435706,32,0.3,30,64,adam
0.6203904551435706,32,0.3,30,128,adam
0.6626898043843515,32,0.3,30,64,adagrad
0.6616052064616355,32,0.3,30,128,adagrad
