accuracy,batch_size,dropout,epochs,neurons,optimizer
0.26327683620028575,16,0.1,15,64,adam
0.1875706214899734,16,0.1,15,128,adam
0.15932203404984233,16,0.1,15,64,adagrad
0.13672316386285474,16,0.1,15,128,adagrad
0.2564971751833366,16,0.1,30,64,adam
0.25423728817768687,16,0.1,30,128,adam
0.1638418079516982,16,0.1,30,64,adagrad
0.15593220347401787,16,0.1,30,128,adagrad
0.15141242942062474,16,0.3,15,64,adam
0.20564971751412428,16,0.3,15,128,adam
0.17175141245042536,16,0.3,15,64,adagrad
0.09265536725268525,16,0.3,15,128,adagrad
0.08587570623573611,16,0.3,30,64,adam
0.24971751416638746,16,0.3,30,128,adam
0.1310734463697773,16,0.3,30,64,adagrad
0.12542372896509654,16,0.3,30,128,adagrad
0.12542372883460615,32,0.1,15,64,adam
0.24971751416638746,32,0.1,15,128,adam
0.12768361586130272,32,0.1,15,64,adagrad
0.0994350282696344,32,0.1,15,128,adagrad
0.23050847472780842,32,0.1,30,64,adam
0.23615819217458284,32,0.1,30,128,adam
0.15028248589675305,32,0.1,30,64,adagrad
0.12768361581920903,32,0.1,30,128,adagrad
0.10169491527528413,32,0.3,15,64,adam
0.24632768376735645,32,0.3,15,128,adam
0.24519774015508802,32,0.3,15,64,adagrad
0.237288135635314,32,0.3,15,128,adagrad
0.2677966102115852,32,0.3,30,64,adam
0.2508474576692123,32,0.3,30,128,adam
0.11186440682175469,32,0.3,30,64,adagrad
0.11073446327683616,32,0.3,30,128,adagrad
