accuracy,batch_size,dropout,epochs,neurons,optimizer
0.1442516269142095,16,0.1,15,64,adam
0.16268980478839606,16,0.1,15,128,adam
0.16702819972777833,16,0.1,15,64,adagrad
0.20607375272765852,16,0.1,15,128,adagrad
0.20607375272765852,16,0.1,30,64,adam
0.20607375272765852,16,0.1,30,128,adam
0.17570498925098368,16,0.1,30,64,adagrad
0.15292841664751802,16,0.1,30,128,adagrad
0.1214750542460967,16,0.3,15,64,adam
0.13665943610564746,16,0.3,15,128,adam
0.18004338410955706,16,0.3,15,64,adagrad
0.20607375272765852,16,0.3,15,128,adagrad
0.20607375272765852,16,0.3,30,64,adam
0.20607375272765852,16,0.3,30,128,adam
0.13232104137636835,16,0.3,30,64,adagrad
0.20607375272765852,16,0.3,30,128,adagrad
0.20715835157159612,32,0.1,15,64,adam
0.13774403472332014,32,0.1,15,128,adam
0.20607375272765852,32,0.1,15,64,adagrad
0.20607375272765852,32,0.1,15,128,adagrad
0.20607375272765852,32,0.1,30,64,adam
0.18221258144187308,32,0.1,30,128,adam
0.20281995677766987,32,0.1,30,64,adagrad
0.20607375272765852,32,0.1,30,128,adagrad
0.1127982646582442,32,0.3,15,64,adam
0.20607375272765852,32,0.3,15,128,adam
0.20607375272765852,32,0.3,15,64,adagrad
0.20607375272765852,32,0.3,15,128,adagrad
0.20607375272765852,32,0.3,30,64,adam
0.20607375272765852,32,0.3,30,128,adam
0.13232104125515498,32,0.3,30,64,adagrad
0.20607375272765852,32,0.3,30,128,adagrad
