accuracy,batch_size,dropout,epochs,neurons,optimizer
0.7409836073390773,16,0.1,15,64,adam
0.7540983612420129,16,0.1,15,128,adam
0.6229508208446816,16,0.1,15,64,adagrad
0.5868852470741898,16,0.1,15,128,adagrad
0.7016393454348455,16,0.1,30,64,adam
0.5803278700250094,16,0.1,30,128,adam
0.714754098946931,16,0.1,30,64,adagrad
0.7016393450439954,16,0.1,30,128,adagrad
0.7508196727174228,16,0.3,15,64,adam
0.5803278700250094,16,0.3,15,128,adam
0.6557377060905831,16,0.3,15,64,adagrad
0.5803278700250094,16,0.3,15,128,adagrad
0.7245901651069766,16,0.3,30,64,adam
0.5803278700250094,16,0.3,30,128,adam
0.6491803292368279,16,0.3,30,64,adagrad
0.5803278700250094,16,0.3,30,128,adagrad
0.6950819683856652,32,0.1,15,64,adam
0.5803278700250094,32,0.1,15,128,adam
0.6950819683856652,32,0.1,15,64,adagrad
0.5803278700250094,32,0.1,15,128,adagrad
0.6786885255672893,32,0.1,30,64,adam
0.5803278700250094,32,0.1,30,128,adam
0.7180327878623712,32,0.1,30,64,adagrad
0.5803278700250094,32,0.1,30,128,adagrad
0.7606557380957681,32,0.3,15,64,adam
0.5803278700250094,32,0.3,15,128,adam
0.6819672142873044,32,0.3,15,64,adagrad
0.6393442634676324,32,0.3,15,128,adagrad
0.7311475417653068,32,0.3,30,64,adam
0.7344262304853221,32,0.3,30,128,adam
0.6524590179568431,32,0.3,30,64,adagrad
0.6885245913364848,32,0.3,30,128,adagrad
