accuracy,batch_size,dropout,epochs,neurons,optimizer
0.7542662120109532,16,0.1,15,64,adam
0.5631399321474719,16,0.1,15,128,adam
0.7201365191781887,16,0.1,15,64,adagrad
0.7201365191781887,16,0.1,15,128,adagrad
0.7508532427276767,16,0.1,30,64,adam
0.6928327649119771,16,0.1,30,128,adam
0.7474402734444003,16,0.1,30,64,adagrad
0.6382252560744106,16,0.1,30,128,adagrad
0.6040955633433606,16,0.3,15,64,adam
0.5665529012273196,16,0.3,15,128,adam
0.7269624577447416,16,0.3,15,64,adagrad
0.7064846420450829,16,0.3,15,128,adagrad
0.730375427028018,16,0.3,30,64,adam
0.6928327649119771,16,0.3,30,128,adam
0.737201365594571,16,0.3,30,64,adagrad
0.69965870347853,16,0.3,30,128,adagrad
0.6655290106457655,32,0.1,15,64,adam
0.5665529014307484,32,0.1,15,128,adam
0.6313993176095721,32,0.1,15,64,adagrad
0.7133105806116358,32,0.1,15,128,adagrad
0.7337883963112946,32,0.1,30,64,adam
0.7269624577447416,32,0.1,30,128,adam
0.6723549492123184,32,0.1,30,64,adagrad
0.6416382256628304,32,0.1,30,128,adagrad
0.6996587032751012,32,0.3,15,64,adam
0.6825938568587189,32,0.3,15,128,adam
0.6279863483262957,32,0.3,15,64,adagrad
0.5904436864136836,32,0.3,15,128,adagrad
0.576791809077149,32,0.3,30,64,adam
0.5665529012273196,32,0.3,30,128,adam
0.7542662120109532,32,0.3,30,64,adagrad
0.6552901027959361,32,0.3,30,128,adagrad
