accuracy,batch_size,dropout,epochs,neurons,optimizer
0.304918033470873,16,0.1,15,64,adam
0.20983606625775822,16,0.1,15,128,adam
0.3081967218000381,16,0.1,15,64,adagrad
0.24590164002825002,16,0.1,15,128,adagrad
0.34754098409512,16,0.1,30,64,adam
0.33442622999675936,16,0.1,30,128,adam
0.3081967218000381,16,0.1,30,64,adagrad
0.28524590193248184,16,0.1,30,128,adagrad
0.2065573770980366,16,0.3,15,64,adam
0.2786885246390202,16,0.3,15,128,adam
0.2557377049668891,16,0.3,15,64,adagrad
0.20655737773316807,16,0.3,15,128,adagrad
0.37377049229184134,16,0.3,30,64,adam
0.3704918039626762,16,0.3,30,128,adam
0.30163934431115136,16,0.3,30,64,adagrad
0.23606557445447954,16,0.3,30,128,adagrad
0.268852459114106,32,0.1,15,64,adam
0.20983606625775822,32,0.1,15,128,adam
0.21967213119639725,32,0.1,15,64,adagrad
0.2688524590652497,32,0.1,15,128,adagrad
0.3475409842905451,32,0.1,30,64,adam
0.2754098363098551,32,0.1,30,128,adam
0.28196721316361034,32,0.1,30,64,adagrad
0.23278688527032979,32,0.1,30,128,adagrad
0.26557377054065956,32,0.3,15,64,adam
0.27540983635871136,32,0.3,15,128,adam
0.213114754342642,32,0.3,15,64,adagrad
0.19016393467051085,32,0.3,15,128,adagrad
0.3409836068016584,32,0.3,30,64,adam
0.19016393467051085,32,0.3,30,128,adam
0.2852459016882005,32,0.3,30,64,adagrad
0.2590163941266107,32,0.3,30,128,adagrad
