accuracy,batch_size,dropout,epochs,neurons,optimizer
0.19414316735143516,16,0.1,15,64,adam
0.18221258137722596,16,0.1,30,64,adam
0.20932754919482416,16,0.1,15,128,adam
0.20498915433625078,16,0.1,30,128,adam
0.2039045556377692,16,0.1,15,64,adagrad
0.1908893713206376,16,0.1,30,64,adagrad
0.20932754913017704,16,0.1,15,128,adagrad
0.1822125817327851,16,0.1,30,128,adagrad
0.1908893713206376,16,0.3,15,64,adam
0.1930585686529536,16,0.3,30,64,adam
0.17353579214493262,16,0.3,15,128,adam
0.20173535830545322,16,0.3,30,128,adam
0.18763557522519292,16,0.3,15,64,adagrad
0.1822125817327851,16,0.3,30,64,adagrad
0.20607375272765852,16,0.3,15,128,adagrad
0.16811279858787767,16,0.3,30,128,adagrad
0.21691973979328305,32,0.1,15,64,adam
0.18438177906510111,32,0.1,30,64,adam
0.19739696344687985,32,0.1,15,128,adam
0.2039045555731221,32,0.1,30,128,adam
0.21583514125641928,32,0.1,15,64,adagrad
0.20498915427160366,32,0.1,30,64,adagrad
0.19739696351152697,32,0.1,15,128,adagrad
0.19739696344687985,32,0.1,30,128,adagrad
0.19739696344687985,32,0.3,15,64,adam
0.18872017385902737,32,0.3,30,64,adam
0.19305856836204158,32,0.3,15,128,adam
0.19305856858830647,32,0.3,30,128,adam
0.2006507594776774,32,0.3,15,64,adagrad
0.18872017363276244,32,0.3,30,64,adagrad
0.1898047725575089,32,0.3,15,128,adagrad
0.18438177906510111,32,0.3,30,128,adagrad
