KNN Accuracy 0.576271186440678, with ngrams (1, 1), analyzer word, neighbors 20, weight uniform
KNN Accuracy 0.584180790960452, with ngrams (1, 1), analyzer word, neighbors 20, weight distance
KNN Accuracy 0.5638418079096045, with ngrams (1, 2), analyzer word, neighbors 20, weight uniform
KNN Accuracy 0.5627118644067797, with ngrams (1, 2), analyzer word, neighbors 20, weight distance
KNN Accuracy 0.5672316384180791, with ngrams (1, 3), analyzer word, neighbors 20, weight uniform
KNN Accuracy 0.5683615819209039, with ngrams (1, 3), analyzer word, neighbors 20, weight distance
KNN Accuracy 0.5694915254237288, with ngrams (1, 4), analyzer word, neighbors 20, weight uniform
KNN Accuracy 0.5774011299435028, with ngrams (1, 4), analyzer word, neighbors 20, weight distance
KNN Accuracy 0.5728813559322034, with ngrams (1, 5), analyzer word, neighbors 20, weight uniform
KNN Accuracy 0.5740112994350283, with ngrams (1, 5), analyzer word, neighbors 20, weight distance
KNN Accuracy 0.5717514124293785, with ngrams (1, 6), analyzer word, neighbors 20, weight uniform
KNN Accuracy 0.5694915254237288, with ngrams (1, 6), analyzer word, neighbors 20, weight distance
KNN Accuracy 0.5728813559322034, with ngrams (1, 7), analyzer word, neighbors 20, weight uniform
KNN Accuracy 0.5728813559322034, with ngrams (1, 7), analyzer word, neighbors 20, weight distance
KNN Accuracy 0.5740112994350283, with ngrams (1, 8), analyzer word, neighbors 20, weight uniform
KNN Accuracy 0.5728813559322034, with ngrams (1, 8), analyzer word, neighbors 20, weight distance
KNN Accuracy 0.5683615819209039, with ngrams (2, 3), analyzer word, neighbors 20, weight uniform
KNN Accuracy 0.584180790960452, with ngrams (2, 3), analyzer word, neighbors 20, weight distance
