KNN Accuracy 0.16271186440677965, with ngrams (1, 1), analyzer word, neighbors 20, weight uniform
KNN Accuracy 0.1694915254237288, with ngrams (1, 1), analyzer word, neighbors 20, weight distance
KNN Accuracy 0.17175141242937852, with ngrams (1, 2), analyzer word, neighbors 20, weight uniform
KNN Accuracy 0.17740112994350282, with ngrams (1, 2), analyzer word, neighbors 20, weight distance
KNN Accuracy 0.18305084745762712, with ngrams (1, 3), analyzer word, neighbors 20, weight uniform
KNN Accuracy 0.18531073446327684, with ngrams (1, 3), analyzer word, neighbors 20, weight distance
KNN Accuracy 0.18305084745762712, with ngrams (1, 4), analyzer word, neighbors 20, weight uniform
KNN Accuracy 0.1864406779661017, with ngrams (1, 4), analyzer word, neighbors 20, weight distance
KNN Accuracy 0.18192090395480226, with ngrams (1, 5), analyzer word, neighbors 20, weight uniform
KNN Accuracy 0.1864406779661017, with ngrams (1, 5), analyzer word, neighbors 20, weight distance
KNN Accuracy 0.18418079096045198, with ngrams (1, 6), analyzer word, neighbors 20, weight uniform
KNN Accuracy 0.18870056497175142, with ngrams (1, 6), analyzer word, neighbors 20, weight distance
KNN Accuracy 0.18983050847457628, with ngrams (1, 7), analyzer word, neighbors 20, weight uniform
KNN Accuracy 0.19548022598870057, with ngrams (1, 7), analyzer word, neighbors 20, weight distance
KNN Accuracy 0.1943502824858757, with ngrams (1, 8), analyzer word, neighbors 20, weight uniform
KNN Accuracy 0.2, with ngrams (1, 8), analyzer word, neighbors 20, weight distance
KNN Accuracy 0.19661016949152543, with ngrams (2, 3), analyzer word, neighbors 20, weight uniform
KNN Accuracy 0.18983050847457628, with ngrams (2, 3), analyzer word, neighbors 20, weight distance
