KNN Accuracy 0.17787418655097614, with ngrams (1, 1), analyzer word, neighbors 20, weight uniform
KNN Accuracy 0.17462039045553146, with ngrams (1, 1), analyzer word, neighbors 20, weight distance
KNN Accuracy 0.1984815618221258, with ngrams (1, 2), analyzer word, neighbors 20, weight uniform
KNN Accuracy 0.20715835140997832, with ngrams (1, 2), analyzer word, neighbors 20, weight distance
KNN Accuracy 0.20281995661605207, with ngrams (1, 3), analyzer word, neighbors 20, weight uniform
KNN Accuracy 0.19414316702819956, with ngrams (1, 3), analyzer word, neighbors 20, weight distance
KNN Accuracy 0.21149674620390455, with ngrams (1, 4), analyzer word, neighbors 20, weight uniform
KNN Accuracy 0.20498915401301518, with ngrams (1, 4), analyzer word, neighbors 20, weight distance
KNN Accuracy 0.21691973969631237, with ngrams (1, 5), analyzer word, neighbors 20, weight uniform
KNN Accuracy 0.210412147505423, with ngrams (1, 5), analyzer word, neighbors 20, weight distance
KNN Accuracy 0.20932754880694143, with ngrams (1, 6), analyzer word, neighbors 20, weight uniform
KNN Accuracy 0.20932754880694143, with ngrams (1, 6), analyzer word, neighbors 20, weight distance
KNN Accuracy 0.2158351409978308, with ngrams (1, 7), analyzer word, neighbors 20, weight uniform
KNN Accuracy 0.21258134490238612, with ngrams (1, 7), analyzer word, neighbors 20, weight distance
KNN Accuracy 0.21908893709327548, with ngrams (1, 8), analyzer word, neighbors 20, weight uniform
KNN Accuracy 0.21475054229934923, with ngrams (1, 8), analyzer word, neighbors 20, weight distance
KNN Accuracy 0.19956616052060738, with ngrams (2, 3), analyzer word, neighbors 20, weight uniform
KNN Accuracy 0.20498915401301518, with ngrams (2, 3), analyzer word, neighbors 20, weight distance
