KNN Accuracy 0.8054607508532423, with ngrams (1, 1), analyzer word, neighbors 20, weight uniform
KNN Accuracy 0.8191126279863481, with ngrams (1, 1), analyzer word, neighbors 20, weight distance
KNN Accuracy 0.8293515358361775, with ngrams (1, 2), analyzer word, neighbors 20, weight uniform
KNN Accuracy 0.8293515358361775, with ngrams (1, 2), analyzer word, neighbors 20, weight distance
KNN Accuracy 0.8122866894197952, with ngrams (1, 3), analyzer word, neighbors 20, weight uniform
KNN Accuracy 0.8191126279863481, with ngrams (1, 3), analyzer word, neighbors 20, weight distance
KNN Accuracy 0.8088737201365188, with ngrams (1, 4), analyzer word, neighbors 20, weight uniform
KNN Accuracy 0.8122866894197952, with ngrams (1, 4), analyzer word, neighbors 20, weight distance
KNN Accuracy 0.8088737201365188, with ngrams (1, 5), analyzer word, neighbors 20, weight uniform
KNN Accuracy 0.8088737201365188, with ngrams (1, 5), analyzer word, neighbors 20, weight distance
KNN Accuracy 0.7986348122866894, with ngrams (1, 6), analyzer word, neighbors 20, weight uniform
KNN Accuracy 0.8054607508532423, with ngrams (1, 6), analyzer word, neighbors 20, weight distance
KNN Accuracy 0.8088737201365188, with ngrams (1, 7), analyzer word, neighbors 20, weight uniform
KNN Accuracy 0.8122866894197952, with ngrams (1, 7), analyzer word, neighbors 20, weight distance
KNN Accuracy 0.8054607508532423, with ngrams (1, 8), analyzer word, neighbors 20, weight uniform
KNN Accuracy 0.8054607508532423, with ngrams (1, 8), analyzer word, neighbors 20, weight distance
KNN Accuracy 0.7474402730375427, with ngrams (2, 3), analyzer word, neighbors 20, weight uniform
KNN Accuracy 0.7713310580204779, with ngrams (2, 3), analyzer word, neighbors 20, weight distance
