,accuracy,analyzer,max_depth,min_samples_leaf,ngram_range
0,0.5943600867678959,word,5,5,"(1, 1)"
1,0.5824295010845987,word,5,10,"(1, 1)"
2,0.5607375271149675,word,5,20,"(1, 1)"
3,0.5911062906724512,word,10,5,"(1, 1)"
4,0.6030368763557483,word,10,10,"(1, 1)"
5,0.5780911062906724,word,10,20,"(1, 1)"
6,0.5986984815618221,char,5,5,"(1, 1)"
7,0.5986984815618221,char,5,10,"(1, 1)"
8,0.5986984815618221,char,5,20,"(1, 1)"
9,0.5737527114967462,char,10,5,"(1, 1)"
10,0.579175704989154,char,10,10,"(1, 1)"
11,0.5845986984815619,char,10,20,"(1, 1)"
12,0.6236442516268981,word,5,5,"(1, 2)"
13,0.60412147505423,word,5,10,"(1, 2)"
14,0.6030368763557483,word,5,20,"(1, 2)"
15,0.5726681127982647,word,10,5,"(1, 2)"
16,0.5498915401301518,word,10,10,"(1, 2)"
17,0.5531453362255966,word,10,20,"(1, 2)"
18,0.5748373101952278,char,5,5,"(1, 2)"
19,0.5770065075921909,char,5,10,"(1, 2)"
20,0.5802603036876356,char,5,20,"(1, 2)"
21,0.5563991323210412,char,10,5,"(1, 2)"
22,0.5553145336225597,char,10,10,"(1, 2)"
23,0.5629067245119306,char,10,20,"(1, 2)"
24,0.6214750542299349,word,5,5,"(1, 3)"
25,0.6008676789587852,word,5,10,"(1, 3)"
26,0.6030368763557483,word,5,20,"(1, 3)"
27,0.571583514099783,word,10,5,"(1, 3)"
28,0.5672451193058569,word,10,10,"(1, 3)"
29,0.561822125813449,word,10,20,"(1, 3)"
30,0.5835140997830802,char,5,5,"(1, 3)"
31,0.5835140997830802,char,5,10,"(1, 3)"
32,0.5835140997830802,char,5,20,"(1, 3)"
33,0.5672451193058569,char,10,5,"(1, 3)"
34,0.579175704989154,char,10,10,"(1, 3)"
35,0.5639913232104121,char,10,20,"(1, 3)"
36,0.5986984815618221,word,5,5,"(1, 6)"
37,0.579175704989154,word,5,10,"(1, 6)"
38,0.5986984815618221,word,5,20,"(1, 6)"
39,0.53470715835141,word,10,5,"(1, 6)"
40,0.5130151843817787,word,10,10,"(1, 6)"
41,0.527114967462039,word,10,20,"(1, 6)"
42,0.6160520607375272,char,5,5,"(1, 6)"
43,0.6084598698481561,char,5,10,"(1, 6)"
44,0.60412147505423,char,5,20,"(1, 6)"
45,0.6193058568329718,char,10,5,"(1, 6)"
46,0.6127982646420824,char,10,10,"(1, 6)"
47,0.6214750542299349,char,10,20,"(1, 6)"
48,0.579175704989154,word,5,5,"(1, 7)"
49,0.5878524945770065,word,5,10,"(1, 7)"
50,0.6052060737527115,word,5,20,"(1, 7)"
51,0.5433839479392625,word,10,5,"(1, 7)"
52,0.5325379609544468,word,10,10,"(1, 7)"
53,0.5379609544468547,word,10,20,"(1, 7)"
54,0.6062906724511931,char,5,5,"(1, 7)"
55,0.6019522776572668,char,5,10,"(1, 7)"
56,0.5986984815618221,char,5,20,"(1, 7)"
57,0.6203904555314533,char,10,5,"(1, 7)"
58,0.6236442516268981,char,10,10,"(1, 7)"
59,0.613882863340564,char,10,20,"(1, 7)"
60,0.6127982646420824,word,5,5,"(1, 8)"
61,0.6160520607375272,word,5,10,"(1, 8)"
62,0.6084598698481561,word,5,20,"(1, 8)"
63,0.5390455531453362,word,10,5,"(1, 8)"
64,0.5281995661605207,word,10,10,"(1, 8)"
65,0.517353579175705,word,10,20,"(1, 8)"
66,0.5976138828633406,char,5,5,"(1, 8)"
67,0.5900216919739696,char,5,10,"(1, 8)"
68,0.5932754880694143,char,5,20,"(1, 8)"
69,0.6290672451193059,char,10,5,"(1, 8)"
70,0.6106290672451193,char,10,10,"(1, 8)"
71,0.6182212581344902,char,10,20,"(1, 8)"
