,accuracy,analyzer,max_depth,min_samples_leaf,ngram_range
0,0.2824858757062147,word,5,5,"(1, 1)"
1,0.29265536723163843,word,5,10,"(1, 1)"
2,0.29265536723163843,word,5,20,"(1, 1)"
3,0.3163841807909605,word,10,5,"(1, 1)"
4,0.32655367231638416,word,10,10,"(1, 1)"
5,0.3310734463276836,word,10,20,"(1, 1)"
6,0.23389830508474577,char,5,5,"(1, 1)"
7,0.2327683615819209,char,5,10,"(1, 1)"
8,0.2327683615819209,char,5,20,"(1, 1)"
9,0.12429378531073447,char,10,5,"(1, 1)"
10,0.11751412429378531,char,10,10,"(1, 1)"
11,0.16045197740112993,char,10,20,"(1, 1)"
12,0.2824858757062147,word,5,5,"(1, 2)"
13,0.29265536723163843,word,5,10,"(1, 2)"
14,0.29265536723163843,word,5,20,"(1, 2)"
15,0.3163841807909605,word,10,5,"(1, 2)"
16,0.3310734463276836,word,10,10,"(1, 2)"
17,0.327683615819209,word,10,20,"(1, 2)"
18,0.2847457627118644,char,5,5,"(1, 2)"
19,0.28361581920903955,char,5,10,"(1, 2)"
20,0.2903954802259887,char,5,20,"(1, 2)"
21,0.26666666666666666,char,10,5,"(1, 2)"
22,0.26440677966101694,char,10,10,"(1, 2)"
23,0.12542372881355932,char,10,20,"(1, 2)"
24,0.280225988700565,word,5,5,"(1, 3)"
25,0.29265536723163843,word,5,10,"(1, 3)"
26,0.29265536723163843,word,5,20,"(1, 3)"
27,0.31186440677966104,word,10,5,"(1, 3)"
28,0.3344632768361582,word,10,10,"(1, 3)"
29,0.3310734463276836,word,10,20,"(1, 3)"
30,0.28135593220338984,char,5,5,"(1, 3)"
31,0.29717514124293787,char,5,10,"(1, 3)"
32,0.29717514124293787,char,5,20,"(1, 3)"
33,0.27796610169491526,char,10,5,"(1, 3)"
34,0.296045197740113,char,10,10,"(1, 3)"
35,0.2248587570621469,char,10,20,"(1, 3)"
36,0.2745762711864407,word,5,5,"(1, 6)"
37,0.29265536723163843,word,5,10,"(1, 6)"
38,0.29265536723163843,word,5,20,"(1, 6)"
39,0.30847457627118646,word,10,5,"(1, 6)"
40,0.32994350282485874,word,10,10,"(1, 6)"
41,0.32994350282485874,word,10,20,"(1, 6)"
42,0.31186440677966104,char,5,5,"(1, 6)"
43,0.31412429378531076,char,5,10,"(1, 6)"
44,0.31412429378531076,char,5,20,"(1, 6)"
45,0.3446327683615819,char,10,5,"(1, 6)"
46,0.3525423728813559,char,10,10,"(1, 6)"
47,0.3525423728813559,char,10,20,"(1, 6)"
48,0.2745762711864407,word,5,5,"(1, 7)"
49,0.29265536723163843,word,5,10,"(1, 7)"
50,0.29265536723163843,word,5,20,"(1, 7)"
51,0.3073446327683616,word,10,5,"(1, 7)"
52,0.33220338983050846,word,10,10,"(1, 7)"
53,0.32994350282485874,word,10,20,"(1, 7)"
54,0.296045197740113,char,5,5,"(1, 7)"
55,0.31412429378531076,char,5,10,"(1, 7)"
56,0.31412429378531076,char,5,20,"(1, 7)"
57,0.3367231638418079,char,10,5,"(1, 7)"
58,0.3446327683615819,char,10,10,"(1, 7)"
59,0.3389830508474576,char,10,20,"(1, 7)"
60,0.2745762711864407,word,5,5,"(1, 8)"
61,0.29265536723163843,word,5,10,"(1, 8)"
62,0.29265536723163843,word,5,20,"(1, 8)"
63,0.3073446327683616,word,10,5,"(1, 8)"
64,0.33220338983050846,word,10,10,"(1, 8)"
65,0.32994350282485874,word,10,20,"(1, 8)"
66,0.30847457627118646,char,5,5,"(1, 8)"
67,0.3129943502824859,char,5,10,"(1, 8)"
68,0.3129943502824859,char,5,20,"(1, 8)"
69,0.3344632768361582,char,10,5,"(1, 8)"
70,0.34350282485875705,char,10,10,"(1, 8)"
71,0.35141242937853107,char,10,20,"(1, 8)"
