,accuracy,analyzer,max_depth,min_samples_leaf,ngram_range
0,0.2754098360655738,word,5,5,"(1, 1)"
1,0.2754098360655738,word,5,10,"(1, 1)"
2,0.2754098360655738,word,5,20,"(1, 1)"
3,0.29508196721311475,word,10,5,"(1, 1)"
4,0.29508196721311475,word,10,10,"(1, 1)"
5,0.3442622950819672,word,10,20,"(1, 1)"
6,0.2721311475409836,char,5,5,"(1, 1)"
7,0.2754098360655738,char,5,10,"(1, 1)"
8,0.26557377049180325,char,5,20,"(1, 1)"
9,0.32459016393442625,char,10,5,"(1, 1)"
10,0.32131147540983607,char,10,10,"(1, 1)"
11,0.3377049180327869,char,10,20,"(1, 1)"
12,0.2819672131147541,word,5,5,"(1, 2)"
13,0.28524590163934427,word,5,10,"(1, 2)"
14,0.28524590163934427,word,5,20,"(1, 2)"
15,0.3442622950819672,word,10,5,"(1, 2)"
16,0.3475409836065574,word,10,10,"(1, 2)"
17,0.3540983606557377,word,10,20,"(1, 2)"
18,0.28852459016393445,char,5,5,"(1, 2)"
19,0.2983606557377049,char,5,10,"(1, 2)"
20,0.3114754098360656,char,5,20,"(1, 2)"
21,0.3377049180327869,char,10,5,"(1, 2)"
22,0.3377049180327869,char,10,10,"(1, 2)"
23,0.35737704918032787,char,10,20,"(1, 2)"
24,0.28524590163934427,word,5,5,"(1, 3)"
25,0.28524590163934427,word,5,10,"(1, 3)"
26,0.28524590163934427,word,5,20,"(1, 3)"
27,0.3475409836065574,word,10,5,"(1, 3)"
28,0.34098360655737703,word,10,10,"(1, 3)"
29,0.31475409836065577,word,10,20,"(1, 3)"
30,0.2983606557377049,char,5,5,"(1, 3)"
31,0.29508196721311475,char,5,10,"(1, 3)"
32,0.2983606557377049,char,5,20,"(1, 3)"
33,0.3114754098360656,char,10,5,"(1, 3)"
34,0.32131147540983607,char,10,10,"(1, 3)"
35,0.32131147540983607,char,10,20,"(1, 3)"
36,0.2786885245901639,word,5,5,"(1, 6)"
37,0.2819672131147541,word,5,10,"(1, 6)"
38,0.28524590163934427,word,5,20,"(1, 6)"
39,0.2983606557377049,word,10,5,"(1, 6)"
40,0.3016393442622951,word,10,10,"(1, 6)"
41,0.3540983606557377,word,10,20,"(1, 6)"
42,0.2983606557377049,char,5,5,"(1, 6)"
43,0.2983606557377049,char,5,10,"(1, 6)"
44,0.2983606557377049,char,5,20,"(1, 6)"
45,0.3704918032786885,char,10,5,"(1, 6)"
46,0.3737704918032787,char,10,10,"(1, 6)"
47,0.3836065573770492,char,10,20,"(1, 6)"
48,0.2786885245901639,word,5,5,"(1, 7)"
49,0.2819672131147541,word,5,10,"(1, 7)"
50,0.28524590163934427,word,5,20,"(1, 7)"
51,0.2983606557377049,word,10,5,"(1, 7)"
52,0.3114754098360656,word,10,10,"(1, 7)"
53,0.3540983606557377,word,10,20,"(1, 7)"
54,0.3016393442622951,char,5,5,"(1, 7)"
55,0.2983606557377049,char,5,10,"(1, 7)"
56,0.2983606557377049,char,5,20,"(1, 7)"
57,0.3540983606557377,char,10,5,"(1, 7)"
58,0.3540983606557377,char,10,10,"(1, 7)"
59,0.38688524590163936,char,10,20,"(1, 7)"
60,0.2786885245901639,word,5,5,"(1, 8)"
61,0.2819672131147541,word,5,10,"(1, 8)"
62,0.28524590163934427,word,5,20,"(1, 8)"
63,0.2983606557377049,word,10,5,"(1, 8)"
64,0.3016393442622951,word,10,10,"(1, 8)"
65,0.3540983606557377,word,10,20,"(1, 8)"
66,0.29508196721311475,char,5,5,"(1, 8)"
67,0.2983606557377049,char,5,10,"(1, 8)"
68,0.2983606557377049,char,5,20,"(1, 8)"
69,0.3836065573770492,char,10,5,"(1, 8)"
70,0.3704918032786885,char,10,10,"(1, 8)"
71,0.3901639344262295,char,10,20,"(1, 8)"
