,accuracy,analyzer,max_depth,min_samples_leaf,ngram_range
0,0.34812286689419797,word,5,5,"(1, 1)"
1,0.34812286689419797,word,5,10,"(1, 1)"
2,0.34812286689419797,word,5,20,"(1, 1)"
3,0.40273037542662116,word,10,5,"(1, 1)"
4,0.40273037542662116,word,10,10,"(1, 1)"
5,0.4232081911262799,word,10,20,"(1, 1)"
6,0.27303754266211605,char,5,5,"(1, 1)"
7,0.2832764505119454,char,5,10,"(1, 1)"
8,0.2901023890784983,char,5,20,"(1, 1)"
9,0.3310580204778157,char,10,5,"(1, 1)"
10,0.33447098976109213,char,10,10,"(1, 1)"
11,0.32081911262798635,char,10,20,"(1, 1)"
12,0.34812286689419797,word,5,5,"(1, 2)"
13,0.34812286689419797,word,5,10,"(1, 2)"
14,0.34812286689419797,word,5,20,"(1, 2)"
15,0.42662116040955633,word,10,5,"(1, 2)"
16,0.42662116040955633,word,10,10,"(1, 2)"
17,0.4334470989761092,word,10,20,"(1, 2)"
18,0.32764505119453924,char,5,5,"(1, 2)"
19,0.33447098976109213,char,5,10,"(1, 2)"
20,0.3378839590443686,char,5,20,"(1, 2)"
21,0.3412969283276451,char,10,5,"(1, 2)"
22,0.3447098976109215,char,10,10,"(1, 2)"
23,0.3242320819112628,char,10,20,"(1, 2)"
24,0.3412969283276451,word,5,5,"(1, 3)"
25,0.3515358361774744,word,5,10,"(1, 3)"
26,0.3515358361774744,word,5,20,"(1, 3)"
27,0.378839590443686,word,10,5,"(1, 3)"
28,0.3890784982935154,word,10,10,"(1, 3)"
29,0.44368600682593856,word,10,20,"(1, 3)"
30,0.3583617747440273,char,5,5,"(1, 3)"
31,0.36177474402730375,char,5,10,"(1, 3)"
32,0.3856655290102389,char,5,20,"(1, 3)"
33,0.4300341296928328,char,10,5,"(1, 3)"
34,0.42662116040955633,char,10,10,"(1, 3)"
35,0.4539249146757679,char,10,20,"(1, 3)"
36,0.3378839590443686,word,5,5,"(1, 6)"
37,0.3515358361774744,word,5,10,"(1, 6)"
38,0.3515358361774744,word,5,20,"(1, 6)"
39,0.42662116040955633,word,10,5,"(1, 6)"
40,0.43686006825938567,word,10,10,"(1, 6)"
41,0.44368600682593856,word,10,20,"(1, 6)"
42,0.4232081911262799,char,5,5,"(1, 6)"
43,0.3890784982935154,char,5,10,"(1, 6)"
44,0.3993174061433447,char,5,20,"(1, 6)"
45,0.4129692832764505,char,10,5,"(1, 6)"
46,0.41638225255972694,char,10,10,"(1, 6)"
47,0.46075085324232085,char,10,20,"(1, 6)"
48,0.34812286689419797,word,5,5,"(1, 7)"
49,0.3515358361774744,word,5,10,"(1, 7)"
50,0.3515358361774744,word,5,20,"(1, 7)"
51,0.4300341296928328,word,10,5,"(1, 7)"
52,0.4300341296928328,word,10,10,"(1, 7)"
53,0.43686006825938567,word,10,20,"(1, 7)"
54,0.41638225255972694,char,5,5,"(1, 7)"
55,0.3890784982935154,char,5,10,"(1, 7)"
56,0.3993174061433447,char,5,20,"(1, 7)"
57,0.4129692832764505,char,10,5,"(1, 7)"
58,0.41638225255972694,char,10,10,"(1, 7)"
59,0.4539249146757679,char,10,20,"(1, 7)"
60,0.34812286689419797,word,5,5,"(1, 8)"
61,0.3515358361774744,word,5,10,"(1, 8)"
62,0.3515358361774744,word,5,20,"(1, 8)"
63,0.4300341296928328,word,10,5,"(1, 8)"
64,0.43686006825938567,word,10,10,"(1, 8)"
65,0.4334470989761092,word,10,20,"(1, 8)"
66,0.4129692832764505,char,5,5,"(1, 8)"
67,0.3993174061433447,char,5,10,"(1, 8)"
68,0.3993174061433447,char,5,20,"(1, 8)"
69,0.40955631399317405,char,10,5,"(1, 8)"
70,0.4300341296928328,char,10,10,"(1, 8)"
71,0.4812286689419795,char,10,20,"(1, 8)"
