,accuracy,analyzer,neighbors,ngram_range,weights
0,0.16271186440677965,word,20,"(1, 1)",uniform
1,0.1694915254237288,word,20,"(1, 1)",distance
2,0.17175141242937852,word,20,"(1, 2)",uniform
3,0.17740112994350282,word,20,"(1, 2)",distance
4,0.18305084745762712,word,20,"(1, 3)",uniform
5,0.18531073446327684,word,20,"(1, 3)",distance
6,0.18305084745762712,word,20,"(1, 4)",uniform
7,0.1864406779661017,word,20,"(1, 4)",distance
8,0.18192090395480226,word,20,"(1, 5)",uniform
9,0.1864406779661017,word,20,"(1, 5)",distance
10,0.18418079096045198,word,20,"(1, 6)",uniform
11,0.18870056497175142,word,20,"(1, 6)",distance
12,0.18983050847457628,word,20,"(1, 7)",uniform
13,0.19548022598870057,word,20,"(1, 7)",distance
14,0.1943502824858757,word,20,"(1, 8)",uniform
15,0.2,word,20,"(1, 8)",distance
16,0.19661016949152543,word,20,"(2, 3)",uniform
17,0.18983050847457628,word,20,"(2, 3)",distance
