,accuracy,analyzer,neighbors,ngram_range,weights
0,0.17787418655097614,word,20,"(1, 1)",uniform
1,0.17462039045553146,word,20,"(1, 1)",distance
2,0.1984815618221258,word,20,"(1, 2)",uniform
3,0.20715835140997832,word,20,"(1, 2)",distance
4,0.20281995661605207,word,20,"(1, 3)",uniform
5,0.19414316702819956,word,20,"(1, 3)",distance
6,0.21149674620390455,word,20,"(1, 4)",uniform
7,0.20498915401301518,word,20,"(1, 4)",distance
8,0.21691973969631237,word,20,"(1, 5)",uniform
9,0.210412147505423,word,20,"(1, 5)",distance
10,0.20932754880694143,word,20,"(1, 6)",uniform
11,0.20932754880694143,word,20,"(1, 6)",distance
12,0.2158351409978308,word,20,"(1, 7)",uniform
13,0.21258134490238612,word,20,"(1, 7)",distance
14,0.21908893709327548,word,20,"(1, 8)",uniform
15,0.21475054229934923,word,20,"(1, 8)",distance
16,0.19956616052060738,word,20,"(2, 3)",uniform
17,0.20498915401301518,word,20,"(2, 3)",distance
