,accuracy,analyzer,neighbors,ngram_range,weights
0,0.8360655737704918,word,20,"(1, 1)",uniform
1,0.8557377049180328,word,20,"(1, 1)",distance
2,0.8229508196721311,word,20,"(1, 2)",uniform
3,0.8295081967213115,word,20,"(1, 2)",distance
4,0.819672131147541,word,20,"(1, 3)",uniform
5,0.8360655737704918,word,20,"(1, 3)",distance
6,0.8262295081967214,word,20,"(1, 4)",uniform
7,0.8360655737704918,word,20,"(1, 4)",distance
8,0.8229508196721311,word,20,"(1, 5)",uniform
9,0.8295081967213115,word,20,"(1, 5)",distance
10,0.819672131147541,word,20,"(1, 6)",uniform
11,0.8360655737704918,word,20,"(1, 6)",distance
12,0.8131147540983606,word,20,"(1, 7)",uniform
13,0.8295081967213115,word,20,"(1, 7)",distance
14,0.8131147540983606,word,20,"(1, 8)",uniform
15,0.8295081967213115,word,20,"(1, 8)",distance
16,0.7868852459016393,word,20,"(2, 3)",uniform
17,0.8032786885245902,word,20,"(2, 3)",distance
