,accuracy,analyzer,neighbors,ngram_range,weights
0,0.8054607508532423,word,20,"(1, 1)",uniform
1,0.8191126279863481,word,20,"(1, 1)",distance
2,0.8293515358361775,word,20,"(1, 2)",uniform
3,0.8293515358361775,word,20,"(1, 2)",distance
4,0.8122866894197952,word,20,"(1, 3)",uniform
5,0.8191126279863481,word,20,"(1, 3)",distance
6,0.8088737201365188,word,20,"(1, 4)",uniform
7,0.8122866894197952,word,20,"(1, 4)",distance
8,0.8088737201365188,word,20,"(1, 5)",uniform
9,0.8088737201365188,word,20,"(1, 5)",distance
10,0.7986348122866894,word,20,"(1, 6)",uniform
11,0.8054607508532423,word,20,"(1, 6)",distance
12,0.8088737201365188,word,20,"(1, 7)",uniform
13,0.8122866894197952,word,20,"(1, 7)",distance
14,0.8054607508532423,word,20,"(1, 8)",uniform
15,0.8054607508532423,word,20,"(1, 8)",distance
16,0.7474402730375427,word,20,"(2, 3)",uniform
17,0.7713310580204779,word,20,"(2, 3)",distance
