Decision Tree Accuracy 0.2592190889370933, with ngrams (1, 1), analyzer word, max_depth None, min samples leaf 3
Decision Tree Accuracy 0.24837310195227766, with ngrams (1, 1), analyzer word, max_depth None, min samples leaf 5
Decision Tree Accuracy 0.25379609544468545, with ngrams (1, 1), analyzer word, max_depth None, min samples leaf 10
Decision Tree Accuracy 0.25704989154013014, with ngrams (1, 1), analyzer word, max_depth None, min samples leaf 20
Decision Tree Accuracy 0.23318872017353579, with ngrams (1, 1), analyzer word, max_depth 5, min samples leaf 3
Decision Tree Accuracy 0.23752711496746204, with ngrams (1, 1), analyzer word, max_depth 5, min samples leaf 5
Decision Tree Accuracy 0.24078091106290672, with ngrams (1, 1), analyzer word, max_depth 5, min samples leaf 10
Decision Tree Accuracy 0.2418655097613883, with ngrams (1, 1), analyzer word, max_depth 5, min samples leaf 20
Decision Tree Accuracy 0.2527114967462039, with ngrams (1, 1), analyzer word, max_depth 10, min samples leaf 3
Decision Tree Accuracy 0.25813449023861174, with ngrams (1, 1), analyzer word, max_depth 10, min samples leaf 5
Decision Tree Accuracy 0.26247288503253796, with ngrams (1, 1), analyzer word, max_depth 10, min samples leaf 10
Decision Tree Accuracy 0.26247288503253796, with ngrams (1, 1), analyzer word, max_depth 10, min samples leaf 20
Decision Tree Accuracy 0.26247288503253796, with ngrams (1, 1), analyzer word, max_depth 30, min samples leaf 3
Decision Tree Accuracy 0.25704989154013014, with ngrams (1, 1), analyzer word, max_depth 30, min samples leaf 5
Decision Tree Accuracy 0.25379609544468545, with ngrams (1, 1), analyzer word, max_depth 30, min samples leaf 10
Decision Tree Accuracy 0.25704989154013014, with ngrams (1, 1), analyzer word, max_depth 30, min samples leaf 20
Decision Tree Accuracy 0.2592190889370933, with ngrams (1, 1), analyzer word, max_depth 50, min samples leaf 3
Decision Tree Accuracy 0.24837310195227766, with ngrams (1, 1), analyzer word, max_depth 50, min samples leaf 5
Decision Tree Accuracy 0.25379609544468545, with ngrams (1, 1), analyzer word, max_depth 50, min samples leaf 10
Decision Tree Accuracy 0.25704989154013014, with ngrams (1, 1), analyzer word, max_depth 50, min samples leaf 20
Decision Tree Accuracy 0.12364425162689804, with ngrams (1, 1), analyzer char, max_depth None, min samples leaf 3
Decision Tree Accuracy 0.12364425162689804, with ngrams (1, 1), analyzer char, max_depth None, min samples leaf 5
Decision Tree Accuracy 0.15292841648590022, with ngrams (1, 1), analyzer char, max_depth None, min samples leaf 10
Decision Tree Accuracy 0.14316702819956617, with ngrams (1, 1), analyzer char, max_depth None, min samples leaf 20
Decision Tree Accuracy 0.15726681127982647, with ngrams (1, 1), analyzer char, max_depth 5, min samples leaf 3
Decision Tree Accuracy 0.15726681127982647, with ngrams (1, 1), analyzer char, max_depth 5, min samples leaf 5
Decision Tree Accuracy 0.15726681127982647, with ngrams (1, 1), analyzer char, max_depth 5, min samples leaf 10
Decision Tree Accuracy 0.1540130151843818, with ngrams (1, 1), analyzer char, max_depth 5, min samples leaf 20
Decision Tree Accuracy 0.1301518438177874, with ngrams (1, 1), analyzer char, max_depth 10, min samples leaf 3
Decision Tree Accuracy 0.1301518438177874, with ngrams (1, 1), analyzer char, max_depth 10, min samples leaf 5
Decision Tree Accuracy 0.15509761388286333, with ngrams (1, 1), analyzer char, max_depth 10, min samples leaf 10
Decision Tree Accuracy 0.14099783080260303, with ngrams (1, 1), analyzer char, max_depth 10, min samples leaf 20
Decision Tree Accuracy 0.12364425162689804, with ngrams (1, 1), analyzer char, max_depth 30, min samples leaf 3
Decision Tree Accuracy 0.12364425162689804, with ngrams (1, 1), analyzer char, max_depth 30, min samples leaf 5
Decision Tree Accuracy 0.15292841648590022, with ngrams (1, 1), analyzer char, max_depth 30, min samples leaf 10
Decision Tree Accuracy 0.14316702819956617, with ngrams (1, 1), analyzer char, max_depth 30, min samples leaf 20
