Decision Tree Accuracy 0.23752711496746204, with ngrams (1, 1), analyzer word, max_depth 5, min samples leaf 5
Decision Tree Accuracy 0.24078091106290672, with ngrams (1, 1), analyzer word, max_depth 5, min samples leaf 10
Decision Tree Accuracy 0.2418655097613883, with ngrams (1, 1), analyzer word, max_depth 5, min samples leaf 20
Decision Tree Accuracy 0.25813449023861174, with ngrams (1, 1), analyzer word, max_depth 10, min samples leaf 5
Decision Tree Accuracy 0.26247288503253796, with ngrams (1, 1), analyzer word, max_depth 10, min samples leaf 10
Decision Tree Accuracy 0.26247288503253796, with ngrams (1, 1), analyzer word, max_depth 10, min samples leaf 20
Decision Tree Accuracy 0.15726681127982647, with ngrams (1, 1), analyzer char, max_depth 5, min samples leaf 5
Decision Tree Accuracy 0.15726681127982647, with ngrams (1, 1), analyzer char, max_depth 5, min samples leaf 10
Decision Tree Accuracy 0.1540130151843818, with ngrams (1, 1), analyzer char, max_depth 5, min samples leaf 20
Decision Tree Accuracy 0.1301518438177874, with ngrams (1, 1), analyzer char, max_depth 10, min samples leaf 5
Decision Tree Accuracy 0.15509761388286333, with ngrams (1, 1), analyzer char, max_depth 10, min samples leaf 10
Decision Tree Accuracy 0.14099783080260303, with ngrams (1, 1), analyzer char, max_depth 10, min samples leaf 20
Decision Tree Accuracy 0.28524945770065074, with ngrams (1, 2), analyzer word, max_depth 5, min samples leaf 5
Decision Tree Accuracy 0.2885032537960954, with ngrams (1, 2), analyzer word, max_depth 5, min samples leaf 10
Decision Tree Accuracy 0.289587852494577, with ngrams (1, 2), analyzer word, max_depth 5, min samples leaf 20
Decision Tree Accuracy 0.2592190889370933, with ngrams (1, 2), analyzer word, max_depth 10, min samples leaf 5
Decision Tree Accuracy 0.2646420824295011, with ngrams (1, 2), analyzer word, max_depth 10, min samples leaf 10
Decision Tree Accuracy 0.26247288503253796, with ngrams (1, 2), analyzer word, max_depth 10, min samples leaf 20
Decision Tree Accuracy 0.24945770065075923, with ngrams (1, 2), analyzer char, max_depth 5, min samples leaf 5
Decision Tree Accuracy 0.24945770065075923, with ngrams (1, 2), analyzer char, max_depth 5, min samples leaf 10
Decision Tree Accuracy 0.25054229934924077, with ngrams (1, 2), analyzer char, max_depth 5, min samples leaf 20
Decision Tree Accuracy 0.2158351409978308, with ngrams (1, 2), analyzer char, max_depth 10, min samples leaf 5
Decision Tree Accuracy 0.210412147505423, with ngrams (1, 2), analyzer char, max_depth 10, min samples leaf 10
Decision Tree Accuracy 0.20281995661605207, with ngrams (1, 2), analyzer char, max_depth 10, min samples leaf 20
Decision Tree Accuracy 0.2885032537960954, with ngrams (1, 3), analyzer word, max_depth 5, min samples leaf 5
Decision Tree Accuracy 0.2885032537960954, with ngrams (1, 3), analyzer word, max_depth 5, min samples leaf 10
Decision Tree Accuracy 0.289587852494577, with ngrams (1, 3), analyzer word, max_depth 5, min samples leaf 20
Decision Tree Accuracy 0.25379609544468545, with ngrams (1, 3), analyzer word, max_depth 10, min samples leaf 5
Decision Tree Accuracy 0.2559652928416486, with ngrams (1, 3), analyzer word, max_depth 10, min samples leaf 10
Decision Tree Accuracy 0.26572668112798264, with ngrams (1, 3), analyzer word, max_depth 10, min samples leaf 20
Decision Tree Accuracy 0.27114967462039047, with ngrams (1, 3), analyzer char, max_depth 5, min samples leaf 5
Decision Tree Accuracy 0.272234273318872, with ngrams (1, 3), analyzer char, max_depth 5, min samples leaf 10
Decision Tree Accuracy 0.2765726681127983, with ngrams (1, 3), analyzer char, max_depth 5, min samples leaf 20
Decision Tree Accuracy 0.2646420824295011, with ngrams (1, 3), analyzer char, max_depth 10, min samples leaf 5
Decision Tree Accuracy 0.27440347071583515, with ngrams (1, 3), analyzer char, max_depth 10, min samples leaf 10
Decision Tree Accuracy 0.28308026030368766, with ngrams (1, 3), analyzer char, max_depth 10, min samples leaf 20
Decision Tree Accuracy 0.24078091106290672, with ngrams (1, 6), analyzer word, max_depth 5, min samples leaf 5
Decision Tree Accuracy 0.2418655097613883, with ngrams (1, 6), analyzer word, max_depth 5, min samples leaf 10
Decision Tree Accuracy 0.2418655097613883, with ngrams (1, 6), analyzer word, max_depth 5, min samples leaf 20
Decision Tree Accuracy 0.25162689804772237, with ngrams (1, 6), analyzer word, max_depth 10, min samples leaf 5
Decision Tree Accuracy 0.2559652928416486, with ngrams (1, 6), analyzer word, max_depth 10, min samples leaf 10
Decision Tree Accuracy 0.2635574837310195, with ngrams (1, 6), analyzer word, max_depth 10, min samples leaf 20
Decision Tree Accuracy 0.2993492407809111, with ngrams (1, 6), analyzer char, max_depth 5, min samples leaf 5
Decision Tree Accuracy 0.2960954446854664, with ngrams (1, 6), analyzer char, max_depth 5, min samples leaf 10
Decision Tree Accuracy 0.2950108459869848, with ngrams (1, 6), analyzer char, max_depth 5, min samples leaf 20
Decision Tree Accuracy 0.2635574837310195, with ngrams (1, 6), analyzer char, max_depth 10, min samples leaf 5
Decision Tree Accuracy 0.2613882863340564, with ngrams (1, 6), analyzer char, max_depth 10, min samples leaf 10
Decision Tree Accuracy 0.2678958785249458, with ngrams (1, 6), analyzer char, max_depth 10, min samples leaf 20
Decision Tree Accuracy 0.2418655097613883, with ngrams (1, 7), analyzer word, max_depth 5, min samples leaf 5
Decision Tree Accuracy 0.2418655097613883, with ngrams (1, 7), analyzer word, max_depth 5, min samples leaf 10
Decision Tree Accuracy 0.2418655097613883, with ngrams (1, 7), analyzer word, max_depth 5, min samples leaf 20
Decision Tree Accuracy 0.25379609544468545, with ngrams (1, 7), analyzer word, max_depth 10, min samples leaf 5
Decision Tree Accuracy 0.2559652928416486, with ngrams (1, 7), analyzer word, max_depth 10, min samples leaf 10
Decision Tree Accuracy 0.25488069414316705, with ngrams (1, 7), analyzer word, max_depth 10, min samples leaf 20
Decision Tree Accuracy 0.3004338394793926, with ngrams (1, 7), analyzer char, max_depth 5, min samples leaf 5
Decision Tree Accuracy 0.30151843817787416, with ngrams (1, 7), analyzer char, max_depth 5, min samples leaf 10
Decision Tree Accuracy 0.29718004338394793, with ngrams (1, 7), analyzer char, max_depth 5, min samples leaf 20
Decision Tree Accuracy 0.2668112798264642, with ngrams (1, 7), analyzer char, max_depth 10, min samples leaf 5
Decision Tree Accuracy 0.26572668112798264, with ngrams (1, 7), analyzer char, max_depth 10, min samples leaf 10
Decision Tree Accuracy 0.272234273318872, with ngrams (1, 7), analyzer char, max_depth 10, min samples leaf 20
Decision Tree Accuracy 0.24078091106290672, with ngrams (1, 8), analyzer word, max_depth 5, min samples leaf 5
Decision Tree Accuracy 0.2418655097613883, with ngrams (1, 8), analyzer word, max_depth 5, min samples leaf 10
Decision Tree Accuracy 0.2418655097613883, with ngrams (1, 8), analyzer word, max_depth 5, min samples leaf 20
Decision Tree Accuracy 0.2527114967462039, with ngrams (1, 8), analyzer word, max_depth 10, min samples leaf 5
Decision Tree Accuracy 0.25488069414316705, with ngrams (1, 8), analyzer word, max_depth 10, min samples leaf 10
Decision Tree Accuracy 0.25488069414316705, with ngrams (1, 8), analyzer word, max_depth 10, min samples leaf 20
Decision Tree Accuracy 0.30151843817787416, with ngrams (1, 8), analyzer char, max_depth 5, min samples leaf 5
Decision Tree Accuracy 0.30151843817787416, with ngrams (1, 8), analyzer char, max_depth 5, min samples leaf 10
