Decision Tree Accuracy 0.6754098360655738, with ngrams (1, 1), analyzer word, max_depth 5, min samples leaf 5
Decision Tree Accuracy 0.6688524590163935, with ngrams (1, 1), analyzer word, max_depth 5, min samples leaf 10
Decision Tree Accuracy 0.6196721311475409, with ngrams (1, 1), analyzer word, max_depth 5, min samples leaf 20
Decision Tree Accuracy 0.6131147540983607, with ngrams (1, 1), analyzer word, max_depth 10, min samples leaf 5
Decision Tree Accuracy 0.6426229508196721, with ngrams (1, 1), analyzer word, max_depth 10, min samples leaf 10
Decision Tree Accuracy 0.6032786885245902, with ngrams (1, 1), analyzer word, max_depth 10, min samples leaf 20
Decision Tree Accuracy 0.659016393442623, with ngrams (1, 1), analyzer char, max_depth 5, min samples leaf 5
Decision Tree Accuracy 0.6655737704918033, with ngrams (1, 1), analyzer char, max_depth 5, min samples leaf 10
Decision Tree Accuracy 0.659016393442623, with ngrams (1, 1), analyzer char, max_depth 5, min samples leaf 20
Decision Tree Accuracy 0.6426229508196721, with ngrams (1, 1), analyzer char, max_depth 10, min samples leaf 5
Decision Tree Accuracy 0.6655737704918033, with ngrams (1, 1), analyzer char, max_depth 10, min samples leaf 10
Decision Tree Accuracy 0.6426229508196721, with ngrams (1, 1), analyzer char, max_depth 10, min samples leaf 20
Decision Tree Accuracy 0.6786885245901639, with ngrams (1, 2), analyzer word, max_depth 5, min samples leaf 5
Decision Tree Accuracy 0.6688524590163935, with ngrams (1, 2), analyzer word, max_depth 5, min samples leaf 10
Decision Tree Accuracy 0.6459016393442623, with ngrams (1, 2), analyzer word, max_depth 5, min samples leaf 20
Decision Tree Accuracy 0.6229508196721312, with ngrams (1, 2), analyzer word, max_depth 10, min samples leaf 5
Decision Tree Accuracy 0.6163934426229508, with ngrams (1, 2), analyzer word, max_depth 10, min samples leaf 10
Decision Tree Accuracy 0.6295081967213115, with ngrams (1, 2), analyzer word, max_depth 10, min samples leaf 20
Decision Tree Accuracy 0.6524590163934426, with ngrams (1, 2), analyzer char, max_depth 5, min samples leaf 5
Decision Tree Accuracy 0.6491803278688525, with ngrams (1, 2), analyzer char, max_depth 5, min samples leaf 10
Decision Tree Accuracy 0.6196721311475409, with ngrams (1, 2), analyzer char, max_depth 5, min samples leaf 20
Decision Tree Accuracy 0.6360655737704918, with ngrams (1, 2), analyzer char, max_depth 10, min samples leaf 5
Decision Tree Accuracy 0.6524590163934426, with ngrams (1, 2), analyzer char, max_depth 10, min samples leaf 10
Decision Tree Accuracy 0.6459016393442623, with ngrams (1, 2), analyzer char, max_depth 10, min samples leaf 20
Decision Tree Accuracy 0.659016393442623, with ngrams (1, 3), analyzer word, max_depth 5, min samples leaf 5
Decision Tree Accuracy 0.6262295081967213, with ngrams (1, 3), analyzer word, max_depth 5, min samples leaf 10
Decision Tree Accuracy 0.6163934426229508, with ngrams (1, 3), analyzer word, max_depth 5, min samples leaf 20
Decision Tree Accuracy 0.6491803278688525, with ngrams (1, 3), analyzer word, max_depth 10, min samples leaf 5
Decision Tree Accuracy 0.6360655737704918, with ngrams (1, 3), analyzer word, max_depth 10, min samples leaf 10
Decision Tree Accuracy 0.5704918032786885, with ngrams (1, 3), analyzer word, max_depth 10, min samples leaf 20
Decision Tree Accuracy 0.6163934426229508, with ngrams (1, 3), analyzer char, max_depth 5, min samples leaf 5
