Decision Tree Accuracy 0.7406143344709898, with ngrams (1, 1), analyzer word, max_depth 5, min samples leaf 5
Decision Tree Accuracy 0.7064846416382252, with ngrams (1, 1), analyzer word, max_depth 5, min samples leaf 10
Decision Tree Accuracy 0.6928327645051194, with ngrams (1, 1), analyzer word, max_depth 5, min samples leaf 20
Decision Tree Accuracy 0.7406143344709898, with ngrams (1, 1), analyzer word, max_depth 10, min samples leaf 5
Decision Tree Accuracy 0.6279863481228669, with ngrams (1, 1), analyzer word, max_depth 10, min samples leaf 10
Decision Tree Accuracy 0.590443686006826, with ngrams (1, 1), analyzer word, max_depth 10, min samples leaf 20
Decision Tree Accuracy 0.6962457337883959, with ngrams (1, 1), analyzer char, max_depth 5, min samples leaf 5
Decision Tree Accuracy 0.6928327645051194, with ngrams (1, 1), analyzer char, max_depth 5, min samples leaf 10
Decision Tree Accuracy 0.7030716723549488, with ngrams (1, 1), analyzer char, max_depth 5, min samples leaf 20
Decision Tree Accuracy 0.6962457337883959, with ngrams (1, 1), analyzer char, max_depth 10, min samples leaf 5
Decision Tree Accuracy 0.6723549488054608, with ngrams (1, 1), analyzer char, max_depth 10, min samples leaf 10
Decision Tree Accuracy 0.6723549488054608, with ngrams (1, 1), analyzer char, max_depth 10, min samples leaf 20
Decision Tree Accuracy 0.7235494880546075, with ngrams (1, 2), analyzer word, max_depth 5, min samples leaf 5
Decision Tree Accuracy 0.6928327645051194, with ngrams (1, 2), analyzer word, max_depth 5, min samples leaf 10
Decision Tree Accuracy 0.6757679180887372, with ngrams (1, 2), analyzer word, max_depth 5, min samples leaf 20
Decision Tree Accuracy 0.6655290102389079, with ngrams (1, 2), analyzer word, max_depth 10, min samples leaf 5
Decision Tree Accuracy 0.6245733788395904, with ngrams (1, 2), analyzer word, max_depth 10, min samples leaf 10
Decision Tree Accuracy 0.6245733788395904, with ngrams (1, 2), analyzer word, max_depth 10, min samples leaf 20
Decision Tree Accuracy 0.6416382252559727, with ngrams (1, 2), analyzer char, max_depth 5, min samples leaf 5
Decision Tree Accuracy 0.6655290102389079, with ngrams (1, 2), analyzer char, max_depth 5, min samples leaf 10
