Decision Tree Accuracy 0.2754098360655738, with ngrams (1, 1), analyzer word, max_depth 5, min samples leaf 5
Decision Tree Accuracy 0.2754098360655738, with ngrams (1, 1), analyzer word, max_depth 5, min samples leaf 10
Decision Tree Accuracy 0.2754098360655738, with ngrams (1, 1), analyzer word, max_depth 5, min samples leaf 20
Decision Tree Accuracy 0.29508196721311475, with ngrams (1, 1), analyzer word, max_depth 10, min samples leaf 5
Decision Tree Accuracy 0.29508196721311475, with ngrams (1, 1), analyzer word, max_depth 10, min samples leaf 10
Decision Tree Accuracy 0.3442622950819672, with ngrams (1, 1), analyzer word, max_depth 10, min samples leaf 20
Decision Tree Accuracy 0.2721311475409836, with ngrams (1, 1), analyzer char, max_depth 5, min samples leaf 5
Decision Tree Accuracy 0.2754098360655738, with ngrams (1, 1), analyzer char, max_depth 5, min samples leaf 10
Decision Tree Accuracy 0.26557377049180325, with ngrams (1, 1), analyzer char, max_depth 5, min samples leaf 20
Decision Tree Accuracy 0.32459016393442625, with ngrams (1, 1), analyzer char, max_depth 10, min samples leaf 5
Decision Tree Accuracy 0.32131147540983607, with ngrams (1, 1), analyzer char, max_depth 10, min samples leaf 10
Decision Tree Accuracy 0.3377049180327869, with ngrams (1, 1), analyzer char, max_depth 10, min samples leaf 20
Decision Tree Accuracy 0.2819672131147541, with ngrams (1, 2), analyzer word, max_depth 5, min samples leaf 5
Decision Tree Accuracy 0.28524590163934427, with ngrams (1, 2), analyzer word, max_depth 5, min samples leaf 10
Decision Tree Accuracy 0.28524590163934427, with ngrams (1, 2), analyzer word, max_depth 5, min samples leaf 20
Decision Tree Accuracy 0.3442622950819672, with ngrams (1, 2), analyzer word, max_depth 10, min samples leaf 5
Decision Tree Accuracy 0.3475409836065574, with ngrams (1, 2), analyzer word, max_depth 10, min samples leaf 10
Decision Tree Accuracy 0.3540983606557377, with ngrams (1, 2), analyzer word, max_depth 10, min samples leaf 20
Decision Tree Accuracy 0.28852459016393445, with ngrams (1, 2), analyzer char, max_depth 5, min samples leaf 5
Decision Tree Accuracy 0.2983606557377049, with ngrams (1, 2), analyzer char, max_depth 5, min samples leaf 10
Decision Tree Accuracy 0.3114754098360656, with ngrams (1, 2), analyzer char, max_depth 5, min samples leaf 20
Decision Tree Accuracy 0.3377049180327869, with ngrams (1, 2), analyzer char, max_depth 10, min samples leaf 5
Decision Tree Accuracy 0.3377049180327869, with ngrams (1, 2), analyzer char, max_depth 10, min samples leaf 10
Decision Tree Accuracy 0.35737704918032787, with ngrams (1, 2), analyzer char, max_depth 10, min samples leaf 20
Decision Tree Accuracy 0.28524590163934427, with ngrams (1, 3), analyzer word, max_depth 5, min samples leaf 5
Decision Tree Accuracy 0.28524590163934427, with ngrams (1, 3), analyzer word, max_depth 5, min samples leaf 10
Decision Tree Accuracy 0.28524590163934427, with ngrams (1, 3), analyzer word, max_depth 5, min samples leaf 20
Decision Tree Accuracy 0.3475409836065574, with ngrams (1, 3), analyzer word, max_depth 10, min samples leaf 5
Decision Tree Accuracy 0.34098360655737703, with ngrams (1, 3), analyzer word, max_depth 10, min samples leaf 10
Decision Tree Accuracy 0.31475409836065577, with ngrams (1, 3), analyzer word, max_depth 10, min samples leaf 20
Decision Tree Accuracy 0.2983606557377049, with ngrams (1, 3), analyzer char, max_depth 5, min samples leaf 5
Decision Tree Accuracy 0.29508196721311475, with ngrams (1, 3), analyzer char, max_depth 5, min samples leaf 10
Decision Tree Accuracy 0.2983606557377049, with ngrams (1, 3), analyzer char, max_depth 5, min samples leaf 20
Decision Tree Accuracy 0.3114754098360656, with ngrams (1, 3), analyzer char, max_depth 10, min samples leaf 5
Decision Tree Accuracy 0.32131147540983607, with ngrams (1, 3), analyzer char, max_depth 10, min samples leaf 10
Decision Tree Accuracy 0.32131147540983607, with ngrams (1, 3), analyzer char, max_depth 10, min samples leaf 20
Decision Tree Accuracy 0.2786885245901639, with ngrams (1, 6), analyzer word, max_depth 5, min samples leaf 5
Decision Tree Accuracy 0.2819672131147541, with ngrams (1, 6), analyzer word, max_depth 5, min samples leaf 10
Decision Tree Accuracy 0.28524590163934427, with ngrams (1, 6), analyzer word, max_depth 5, min samples leaf 20
Decision Tree Accuracy 0.2983606557377049, with ngrams (1, 6), analyzer word, max_depth 10, min samples leaf 5
Decision Tree Accuracy 0.3016393442622951, with ngrams (1, 6), analyzer word, max_depth 10, min samples leaf 10
Decision Tree Accuracy 0.3540983606557377, with ngrams (1, 6), analyzer word, max_depth 10, min samples leaf 20
Decision Tree Accuracy 0.2983606557377049, with ngrams (1, 6), analyzer char, max_depth 5, min samples leaf 5
Decision Tree Accuracy 0.2983606557377049, with ngrams (1, 6), analyzer char, max_depth 5, min samples leaf 10
