,accuracy,analyzer,max_depth,min_samples_leaf,ngram_range
0,0.5570621468926553,word,5,5,"(1, 1)"
1,0.559322033898305,word,5,10,"(1, 1)"
2,0.5898305084745763,word,5,20,"(1, 1)"
3,0.5740112994350283,word,10,5,"(1, 1)"
4,0.5627118644067797,word,10,10,"(1, 1)"
5,0.5774011299435028,word,10,20,"(1, 1)"
6,0.5514124293785311,char,5,5,"(1, 1)"
7,0.5672316384180791,char,5,10,"(1, 1)"
8,0.5649717514124294,char,5,20,"(1, 1)"
9,0.5435028248587571,char,10,5,"(1, 1)"
10,0.5796610169491525,char,10,10,"(1, 1)"
11,0.5728813559322034,char,10,20,"(1, 1)"
12,0.5615819209039548,word,5,5,"(1, 2)"
13,0.5401129943502825,word,5,10,"(1, 2)"
14,0.5694915254237288,word,5,20,"(1, 2)"
15,0.5570621468926553,word,10,5,"(1, 2)"
16,0.5276836158192091,word,10,10,"(1, 2)"
17,0.5570621468926553,word,10,20,"(1, 2)"
18,0.45310734463276836,char,5,5,"(1, 2)"
19,0.45084745762711864,char,5,10,"(1, 2)"
20,0.4632768361581921,char,5,20,"(1, 2)"
21,0.46440677966101696,char,10,5,"(1, 2)"
22,0.4463276836158192,char,10,10,"(1, 2)"
23,0.45875706214689266,char,10,20,"(1, 2)"
24,0.5932203389830508,word,5,5,"(1, 3)"
25,0.576271186440678,word,5,10,"(1, 3)"
26,0.5966101694915255,word,5,20,"(1, 3)"
27,0.5627118644067797,word,10,5,"(1, 3)"
28,0.5514124293785311,word,10,10,"(1, 3)"
29,0.5649717514124294,word,10,20,"(1, 3)"
30,0.5649717514124294,char,5,5,"(1, 3)"
31,0.5672316384180791,char,5,10,"(1, 3)"
32,0.5627118644067797,char,5,20,"(1, 3)"
33,0.5378531073446328,char,10,5,"(1, 3)"
34,0.5322033898305085,char,10,10,"(1, 3)"
35,0.5627118644067797,char,10,20,"(1, 3)"
36,0.5954802259887005,word,5,5,"(1, 6)"
37,0.5728813559322034,word,5,10,"(1, 6)"
38,0.6169491525423729,word,5,20,"(1, 6)"
39,0.559322033898305,word,10,5,"(1, 6)"
40,0.5435028248587571,word,10,10,"(1, 6)"
41,0.576271186440678,word,10,20,"(1, 6)"
42,0.5683615819209039,char,5,5,"(1, 6)"
43,0.5570621468926553,char,5,10,"(1, 6)"
44,0.5502824858757062,char,5,20,"(1, 6)"
45,0.5864406779661017,char,10,5,"(1, 6)"
46,0.5615819209039548,char,10,10,"(1, 6)"
47,0.5661016949152542,char,10,20,"(1, 6)"
48,0.5887005649717514,word,5,5,"(1, 7)"
49,0.5819209039548022,word,5,10,"(1, 7)"
50,0.5638418079096045,word,5,20,"(1, 7)"
51,0.5672316384180791,word,10,5,"(1, 7)"
52,0.56045197740113,word,10,10,"(1, 7)"
53,0.5412429378531074,word,10,20,"(1, 7)"
54,0.5468926553672316,char,5,5,"(1, 7)"
55,0.5638418079096045,char,5,10,"(1, 7)"
56,0.5672316384180791,char,5,20,"(1, 7)"
57,0.5401129943502825,char,10,5,"(1, 7)"
58,0.5514124293785311,char,10,10,"(1, 7)"
59,0.5694915254237288,char,10,20,"(1, 7)"
60,0.5932203389830508,word,5,5,"(1, 8)"
61,0.5694915254237288,word,5,10,"(1, 8)"
62,0.6033898305084746,word,5,20,"(1, 8)"
63,0.5570621468926553,word,10,5,"(1, 8)"
64,0.5231638418079096,word,10,10,"(1, 8)"
65,0.5638418079096045,word,10,20,"(1, 8)"
66,0.48361581920903957,char,5,5,"(1, 8)"
67,0.47909604519774013,char,5,10,"(1, 8)"
68,0.5457627118644067,char,5,20,"(1, 8)"
69,0.47796610169491527,char,10,5,"(1, 8)"
70,0.4632768361581921,char,10,10,"(1, 8)"
71,0.535593220338983,char,10,20,"(1, 8)"
