,accuracy,analyzer,max_depth,min_samples_leaf,ngram_range
0,0.23752711496746204,word,5,5,"(1, 1)"
1,0.24078091106290672,word,5,10,"(1, 1)"
2,0.2418655097613883,word,5,20,"(1, 1)"
3,0.25813449023861174,word,10,5,"(1, 1)"
4,0.26247288503253796,word,10,10,"(1, 1)"
5,0.26247288503253796,word,10,20,"(1, 1)"
6,0.15726681127982647,char,5,5,"(1, 1)"
7,0.15726681127982647,char,5,10,"(1, 1)"
8,0.1540130151843818,char,5,20,"(1, 1)"
9,0.1301518438177874,char,10,5,"(1, 1)"
10,0.15509761388286333,char,10,10,"(1, 1)"
11,0.14099783080260303,char,10,20,"(1, 1)"
12,0.28524945770065074,word,5,5,"(1, 2)"
13,0.2885032537960954,word,5,10,"(1, 2)"
14,0.289587852494577,word,5,20,"(1, 2)"
15,0.2592190889370933,word,10,5,"(1, 2)"
16,0.2646420824295011,word,10,10,"(1, 2)"
17,0.26247288503253796,word,10,20,"(1, 2)"
18,0.24945770065075923,char,5,5,"(1, 2)"
19,0.24945770065075923,char,5,10,"(1, 2)"
20,0.25054229934924077,char,5,20,"(1, 2)"
21,0.2158351409978308,char,10,5,"(1, 2)"
22,0.210412147505423,char,10,10,"(1, 2)"
23,0.20281995661605207,char,10,20,"(1, 2)"
24,0.2885032537960954,word,5,5,"(1, 3)"
25,0.2885032537960954,word,5,10,"(1, 3)"
26,0.289587852494577,word,5,20,"(1, 3)"
27,0.25379609544468545,word,10,5,"(1, 3)"
28,0.2559652928416486,word,10,10,"(1, 3)"
29,0.26572668112798264,word,10,20,"(1, 3)"
30,0.27114967462039047,char,5,5,"(1, 3)"
31,0.272234273318872,char,5,10,"(1, 3)"
32,0.2765726681127983,char,5,20,"(1, 3)"
33,0.2646420824295011,char,10,5,"(1, 3)"
34,0.27440347071583515,char,10,10,"(1, 3)"
35,0.28308026030368766,char,10,20,"(1, 3)"
36,0.24078091106290672,word,5,5,"(1, 6)"
37,0.2418655097613883,word,5,10,"(1, 6)"
38,0.2418655097613883,word,5,20,"(1, 6)"
39,0.25162689804772237,word,10,5,"(1, 6)"
40,0.2559652928416486,word,10,10,"(1, 6)"
41,0.2635574837310195,word,10,20,"(1, 6)"
42,0.2993492407809111,char,5,5,"(1, 6)"
43,0.2960954446854664,char,5,10,"(1, 6)"
44,0.2950108459869848,char,5,20,"(1, 6)"
45,0.2635574837310195,char,10,5,"(1, 6)"
46,0.2613882863340564,char,10,10,"(1, 6)"
47,0.2678958785249458,char,10,20,"(1, 6)"
48,0.2418655097613883,word,5,5,"(1, 7)"
49,0.2418655097613883,word,5,10,"(1, 7)"
50,0.2418655097613883,word,5,20,"(1, 7)"
51,0.25379609544468545,word,10,5,"(1, 7)"
52,0.2559652928416486,word,10,10,"(1, 7)"
53,0.25488069414316705,word,10,20,"(1, 7)"
54,0.3004338394793926,char,5,5,"(1, 7)"
55,0.30151843817787416,char,5,10,"(1, 7)"
56,0.29718004338394793,char,5,20,"(1, 7)"
57,0.2668112798264642,char,10,5,"(1, 7)"
58,0.26572668112798264,char,10,10,"(1, 7)"
59,0.272234273318872,char,10,20,"(1, 7)"
60,0.24078091106290672,word,5,5,"(1, 8)"
61,0.2418655097613883,word,5,10,"(1, 8)"
62,0.2418655097613883,word,5,20,"(1, 8)"
63,0.2527114967462039,word,10,5,"(1, 8)"
64,0.25488069414316705,word,10,10,"(1, 8)"
65,0.25488069414316705,word,10,20,"(1, 8)"
66,0.30151843817787416,char,5,5,"(1, 8)"
67,0.30151843817787416,char,5,10,"(1, 8)"
68,0.29718004338394793,char,5,20,"(1, 8)"
69,0.26898047722342733,char,10,5,"(1, 8)"
70,0.2646420824295011,char,10,10,"(1, 8)"
71,0.272234273318872,char,10,20,"(1, 8)"
