,accuracy,analyzer,max_depth,min_samples_leaf,ngram_range
0,0.6754098360655738,word,5,5,"(1, 1)"
1,0.6688524590163935,word,5,10,"(1, 1)"
2,0.6196721311475409,word,5,20,"(1, 1)"
3,0.6131147540983607,word,10,5,"(1, 1)"
4,0.6426229508196721,word,10,10,"(1, 1)"
5,0.6032786885245902,word,10,20,"(1, 1)"
6,0.659016393442623,char,5,5,"(1, 1)"
7,0.6655737704918033,char,5,10,"(1, 1)"
8,0.659016393442623,char,5,20,"(1, 1)"
9,0.6426229508196721,char,10,5,"(1, 1)"
10,0.6655737704918033,char,10,10,"(1, 1)"
11,0.6426229508196721,char,10,20,"(1, 1)"
12,0.6786885245901639,word,5,5,"(1, 2)"
13,0.6688524590163935,word,5,10,"(1, 2)"
14,0.6459016393442623,word,5,20,"(1, 2)"
15,0.6229508196721312,word,10,5,"(1, 2)"
16,0.6163934426229508,word,10,10,"(1, 2)"
17,0.6295081967213115,word,10,20,"(1, 2)"
18,0.6524590163934426,char,5,5,"(1, 2)"
19,0.6491803278688525,char,5,10,"(1, 2)"
20,0.6196721311475409,char,5,20,"(1, 2)"
21,0.6360655737704918,char,10,5,"(1, 2)"
22,0.6524590163934426,char,10,10,"(1, 2)"
23,0.6459016393442623,char,10,20,"(1, 2)"
24,0.659016393442623,word,5,5,"(1, 3)"
25,0.6262295081967213,word,5,10,"(1, 3)"
26,0.6163934426229508,word,5,20,"(1, 3)"
27,0.6491803278688525,word,10,5,"(1, 3)"
28,0.6360655737704918,word,10,10,"(1, 3)"
29,0.5704918032786885,word,10,20,"(1, 3)"
30,0.6163934426229508,char,5,5,"(1, 3)"
31,0.6098360655737705,char,5,10,"(1, 3)"
32,0.5934426229508196,char,5,20,"(1, 3)"
33,0.6032786885245902,char,10,5,"(1, 3)"
34,0.6032786885245902,char,10,10,"(1, 3)"
35,0.6098360655737705,char,10,20,"(1, 3)"
36,0.6754098360655738,word,5,5,"(1, 6)"
37,0.6426229508196721,word,5,10,"(1, 6)"
38,0.6786885245901639,word,5,20,"(1, 6)"
39,0.6459016393442623,word,10,5,"(1, 6)"
40,0.5409836065573771,word,10,10,"(1, 6)"
41,0.639344262295082,word,10,20,"(1, 6)"
42,0.6688524590163935,char,5,5,"(1, 6)"
43,0.6721311475409836,char,5,10,"(1, 6)"
44,0.6491803278688525,char,5,20,"(1, 6)"
45,0.6426229508196721,char,10,5,"(1, 6)"
46,0.6459016393442623,char,10,10,"(1, 6)"
47,0.6426229508196721,char,10,20,"(1, 6)"
48,0.6032786885245902,word,5,5,"(1, 7)"
49,0.5737704918032787,word,5,10,"(1, 7)"
50,0.6098360655737705,word,5,20,"(1, 7)"
51,0.6131147540983607,word,10,5,"(1, 7)"
52,0.5639344262295082,word,10,10,"(1, 7)"
53,0.6229508196721312,word,10,20,"(1, 7)"
54,0.6459016393442623,char,5,5,"(1, 7)"
55,0.639344262295082,char,5,10,"(1, 7)"
56,0.6622950819672131,char,5,20,"(1, 7)"
57,0.6,char,10,5,"(1, 7)"
58,0.6131147540983607,char,10,10,"(1, 7)"
59,0.6459016393442623,char,10,20,"(1, 7)"
60,0.6032786885245902,word,5,5,"(1, 8)"
61,0.5901639344262295,word,5,10,"(1, 8)"
62,0.5901639344262295,word,5,20,"(1, 8)"
63,0.5901639344262295,word,10,5,"(1, 8)"
64,0.580327868852459,word,10,10,"(1, 8)"
65,0.580327868852459,word,10,20,"(1, 8)"
66,0.6131147540983607,char,5,5,"(1, 8)"
67,0.6327868852459017,char,5,10,"(1, 8)"
68,0.6262295081967213,char,5,20,"(1, 8)"
69,0.6,char,10,5,"(1, 8)"
70,0.659016393442623,char,10,10,"(1, 8)"
71,0.6229508196721312,char,10,20,"(1, 8)"
