,accuracy,analyzer,max_depth,min_samples_leaf,ngram_range
0,0.7406143344709898,word,5,5,"(1, 1)"
1,0.7064846416382252,word,5,10,"(1, 1)"
2,0.6928327645051194,word,5,20,"(1, 1)"
3,0.7406143344709898,word,10,5,"(1, 1)"
4,0.6279863481228669,word,10,10,"(1, 1)"
5,0.590443686006826,word,10,20,"(1, 1)"
6,0.6962457337883959,char,5,5,"(1, 1)"
7,0.6928327645051194,char,5,10,"(1, 1)"
8,0.7030716723549488,char,5,20,"(1, 1)"
9,0.6962457337883959,char,10,5,"(1, 1)"
10,0.6723549488054608,char,10,10,"(1, 1)"
11,0.6723549488054608,char,10,20,"(1, 1)"
12,0.7235494880546075,word,5,5,"(1, 2)"
13,0.6928327645051194,word,5,10,"(1, 2)"
14,0.6757679180887372,word,5,20,"(1, 2)"
15,0.6655290102389079,word,10,5,"(1, 2)"
16,0.6245733788395904,word,10,10,"(1, 2)"
17,0.6245733788395904,word,10,20,"(1, 2)"
18,0.6416382252559727,char,5,5,"(1, 2)"
19,0.6655290102389079,char,5,10,"(1, 2)"
20,0.6518771331058021,char,5,20,"(1, 2)"
21,0.6484641638225256,char,10,5,"(1, 2)"
22,0.6484641638225256,char,10,10,"(1, 2)"
23,0.6484641638225256,char,10,20,"(1, 2)"
24,0.7030716723549488,word,5,5,"(1, 3)"
25,0.7201365187713311,word,5,10,"(1, 3)"
26,0.6757679180887372,word,5,20,"(1, 3)"
27,0.7235494880546075,word,10,5,"(1, 3)"
28,0.7167235494880546,word,10,10,"(1, 3)"
29,0.5733788395904437,word,10,20,"(1, 3)"
30,0.6962457337883959,char,5,5,"(1, 3)"
31,0.6552901023890785,char,5,10,"(1, 3)"
32,0.6621160409556314,char,5,20,"(1, 3)"
33,0.7235494880546075,char,10,5,"(1, 3)"
34,0.6416382252559727,char,10,10,"(1, 3)"
35,0.6279863481228669,char,10,20,"(1, 3)"
36,0.6860068259385665,word,5,5,"(1, 6)"
37,0.689419795221843,word,5,10,"(1, 6)"
38,0.6757679180887372,word,5,20,"(1, 6)"
39,0.6791808873720137,word,10,5,"(1, 6)"
40,0.6245733788395904,word,10,10,"(1, 6)"
41,0.6075085324232082,word,10,20,"(1, 6)"
42,0.6689419795221843,char,5,5,"(1, 6)"
43,0.6518771331058021,char,5,10,"(1, 6)"
44,0.6621160409556314,char,5,20,"(1, 6)"
45,0.6518771331058021,char,10,5,"(1, 6)"
46,0.6040955631399317,char,10,10,"(1, 6)"
47,0.6860068259385665,char,10,20,"(1, 6)"
48,0.6860068259385665,word,5,5,"(1, 7)"
49,0.6928327645051194,word,5,10,"(1, 7)"
50,0.6860068259385665,word,5,20,"(1, 7)"
51,0.6109215017064846,word,10,5,"(1, 7)"
52,0.621160409556314,word,10,10,"(1, 7)"
53,0.6348122866894198,word,10,20,"(1, 7)"
54,0.6757679180887372,char,5,5,"(1, 7)"
55,0.6245733788395904,char,5,10,"(1, 7)"
56,0.6860068259385665,char,5,20,"(1, 7)"
57,0.689419795221843,char,10,5,"(1, 7)"
58,0.6109215017064846,char,10,10,"(1, 7)"
59,0.6552901023890785,char,10,20,"(1, 7)"
60,0.6621160409556314,word,5,5,"(1, 8)"
61,0.6689419795221843,word,5,10,"(1, 8)"
62,0.658703071672355,word,5,20,"(1, 8)"
63,0.6006825938566553,word,10,5,"(1, 8)"
64,0.5870307167235495,word,10,10,"(1, 8)"
65,0.6348122866894198,word,10,20,"(1, 8)"
66,0.6723549488054608,char,5,5,"(1, 8)"
67,0.6245733788395904,char,5,10,"(1, 8)"
68,0.6621160409556314,char,5,20,"(1, 8)"
69,0.6825938566552902,char,10,5,"(1, 8)"
70,0.6348122866894198,char,10,10,"(1, 8)"
71,0.6928327645051194,char,10,20,"(1, 8)"
