KNN Accuracy 0.16268980477223427, with ngrams (1, 1), analyzer word, neighbors 3, weight uniform
KNN Accuracy 0.15835140997830802, with ngrams (1, 1), analyzer word, neighbors 3, weight distance
KNN Accuracy 0.1616052060737527, with ngrams (1, 1), analyzer word, neighbors 5, weight uniform
KNN Accuracy 0.16052060737527116, with ngrams (1, 1), analyzer word, neighbors 5, weight distance
KNN Accuracy 0.1681127982646421, with ngrams (1, 1), analyzer word, neighbors 10, weight uniform
KNN Accuracy 0.16052060737527116, with ngrams (1, 1), analyzer word, neighbors 10, weight distance
KNN Accuracy 0.17787418655097614, with ngrams (1, 1), analyzer word, neighbors 20, weight uniform
KNN Accuracy 0.17462039045553146, with ngrams (1, 1), analyzer word, neighbors 20, weight distance
KNN Accuracy 0.16052060737527116, with ngrams (1, 1), analyzer char, neighbors 3, weight uniform
KNN Accuracy 0.1594360086767896, with ngrams (1, 1), analyzer char, neighbors 3, weight distance
KNN Accuracy 0.17136659436008678, with ngrams (1, 1), analyzer char, neighbors 5, weight uniform
KNN Accuracy 0.1616052060737527, with ngrams (1, 1), analyzer char, neighbors 5, weight distance
KNN Accuracy 0.175704989154013, with ngrams (1, 1), analyzer char, neighbors 10, weight uniform
KNN Accuracy 0.18112798264642083, with ngrams (1, 1), analyzer char, neighbors 10, weight distance
KNN Accuracy 0.19739696312364424, with ngrams (1, 1), analyzer char, neighbors 20, weight uniform
KNN Accuracy 0.20281995661605207, with ngrams (1, 1), analyzer char, neighbors 20, weight distance
KNN Accuracy 0.19305856832971802, with ngrams (1, 2), analyzer word, neighbors 3, weight uniform
KNN Accuracy 0.19088937093275488, with ngrams (1, 2), analyzer word, neighbors 3, weight distance
KNN Accuracy 0.19197396963123645, with ngrams (1, 2), analyzer word, neighbors 5, weight uniform
KNN Accuracy 0.1984815618221258, with ngrams (1, 2), analyzer word, neighbors 5, weight distance
KNN Accuracy 0.19522776572668113, with ngrams (1, 2), analyzer word, neighbors 10, weight uniform
KNN Accuracy 0.18655097613882862, with ngrams (1, 2), analyzer word, neighbors 10, weight distance
KNN Accuracy 0.1984815618221258, with ngrams (1, 2), analyzer word, neighbors 20, weight uniform
KNN Accuracy 0.20715835140997832, with ngrams (1, 2), analyzer word, neighbors 20, weight distance
KNN Accuracy 0.16377440347071584, with ngrams (1, 2), analyzer char, neighbors 3, weight uniform
KNN Accuracy 0.1561822125813449, with ngrams (1, 2), analyzer char, neighbors 3, weight distance
KNN Accuracy 0.1681127982646421, with ngrams (1, 2), analyzer char, neighbors 5, weight uniform
KNN Accuracy 0.14533622559652928, with ngrams (1, 2), analyzer char, neighbors 5, weight distance
KNN Accuracy 0.16919739696312364, with ngrams (1, 2), analyzer char, neighbors 10, weight uniform
KNN Accuracy 0.1681127982646421, with ngrams (1, 2), analyzer char, neighbors 10, weight distance
KNN Accuracy 0.1876355748373102, with ngrams (1, 2), analyzer char, neighbors 20, weight uniform
KNN Accuracy 0.18112798264642083, with ngrams (1, 2), analyzer char, neighbors 20, weight distance
KNN Accuracy 0.19739696312364424, with ngrams (1, 3), analyzer word, neighbors 3, weight uniform
