,accuracy,analyzer,neighbors,ngram_range,weights
0,0.16268980477223427,word,3,"(1, 1)",uniform
1,0.15835140997830802,word,3,"(1, 1)",distance
2,0.1616052060737527,word,5,"(1, 1)",uniform
3,0.16052060737527116,word,5,"(1, 1)",distance
4,0.1681127982646421,word,10,"(1, 1)",uniform
5,0.16052060737527116,word,10,"(1, 1)",distance
6,0.17787418655097614,word,20,"(1, 1)",uniform
7,0.17462039045553146,word,20,"(1, 1)",distance
8,0.16052060737527116,char,3,"(1, 1)",uniform
9,0.1594360086767896,char,3,"(1, 1)",distance
10,0.17136659436008678,char,5,"(1, 1)",uniform
11,0.1616052060737527,char,5,"(1, 1)",distance
12,0.175704989154013,char,10,"(1, 1)",uniform
13,0.18112798264642083,char,10,"(1, 1)",distance
14,0.19739696312364424,char,20,"(1, 1)",uniform
15,0.20281995661605207,char,20,"(1, 1)",distance
16,0.19305856832971802,word,3,"(1, 2)",uniform
17,0.19088937093275488,word,3,"(1, 2)",distance
18,0.19197396963123645,word,5,"(1, 2)",uniform
19,0.1984815618221258,word,5,"(1, 2)",distance
20,0.19522776572668113,word,10,"(1, 2)",uniform
21,0.18655097613882862,word,10,"(1, 2)",distance
22,0.1984815618221258,word,20,"(1, 2)",uniform
23,0.20715835140997832,word,20,"(1, 2)",distance
24,0.16377440347071584,char,3,"(1, 2)",uniform
25,0.1561822125813449,char,3,"(1, 2)",distance
26,0.1681127982646421,char,5,"(1, 2)",uniform
27,0.14533622559652928,char,5,"(1, 2)",distance
28,0.16919739696312364,char,10,"(1, 2)",uniform
29,0.1681127982646421,char,10,"(1, 2)",distance
30,0.1876355748373102,char,20,"(1, 2)",uniform
31,0.18112798264642083,char,20,"(1, 2)",distance
32,0.19739696312364424,word,3,"(1, 3)",uniform
33,0.19522776572668113,word,3,"(1, 3)",distance
34,0.1963123644251627,word,5,"(1, 3)",uniform
35,0.18655097613882862,word,5,"(1, 3)",distance
36,0.19305856832971802,word,10,"(1, 3)",uniform
37,0.20065075921908893,word,10,"(1, 3)",distance
38,0.20281995661605207,word,20,"(1, 3)",uniform
39,0.19414316702819956,word,20,"(1, 3)",distance
40,0.1334056399132321,char,3,"(1, 3)",uniform
41,0.13449023861171366,char,3,"(1, 3)",distance
42,0.13774403470715835,char,5,"(1, 3)",uniform
43,0.13123644251626898,char,5,"(1, 3)",distance
44,0.13774403470715835,char,10,"(1, 3)",uniform
45,0.12472885032537961,char,10,"(1, 3)",distance
46,0.1648590021691974,char,20,"(1, 3)",uniform
47,0.15726681127982647,char,20,"(1, 3)",distance
48,0.2017353579175705,word,3,"(1, 4)",uniform
49,0.19522776572668113,word,3,"(1, 4)",distance
50,0.2017353579175705,word,5,"(1, 4)",uniform
51,0.19088937093275488,word,5,"(1, 4)",distance
52,0.19305856832971802,word,10,"(1, 4)",uniform
53,0.19305856832971802,word,10,"(1, 4)",distance
54,0.21149674620390455,word,20,"(1, 4)",uniform
55,0.20498915401301518,word,20,"(1, 4)",distance
56,0.10303687635574837,char,3,"(1, 4)",uniform
57,0.08351409978308026,char,3,"(1, 4)",distance
58,0.10303687635574837,char,5,"(1, 4)",uniform
59,0.09219088937093275,char,5,"(1, 4)",distance
60,0.10629067245119306,char,10,"(1, 4)",uniform
61,0.10303687635574837,char,10,"(1, 4)",distance
62,0.13882863340563992,char,20,"(1, 4)",uniform
63,0.12255965292841649,char,20,"(1, 4)",distance
64,0.19739696312364424,word,3,"(1, 5)",uniform
65,0.19088937093275488,word,3,"(1, 5)",distance
66,0.19522776572668113,word,5,"(1, 5)",uniform
67,0.18655097613882862,word,5,"(1, 5)",distance
68,0.19088937093275488,word,10,"(1, 5)",uniform
69,0.19088937093275488,word,10,"(1, 5)",distance
70,0.21691973969631237,word,20,"(1, 5)",uniform
71,0.210412147505423,word,20,"(1, 5)",distance
72,0.09761388286334056,char,3,"(1, 5)",uniform
73,0.07483731019522777,char,3,"(1, 5)",distance
74,0.09436008676789588,char,5,"(1, 5)",uniform
75,0.0770065075921909,char,5,"(1, 5)",distance
76,0.09869848156182212,char,10,"(1, 5)",uniform
77,0.09436008676789588,char,10,"(1, 5)",distance
78,0.10737527114967461,char,20,"(1, 5)",uniform
