KNN Accuracy 0.6214750542299349, with ngrams (1, 1), analyzer word, neighbors 20, weight uniform
KNN Accuracy 0.613882863340564, with ngrams (1, 1), analyzer word, neighbors 20, weight distance
KNN Accuracy 0.6127982646420824, with ngrams (1, 2), analyzer word, neighbors 20, weight uniform
KNN Accuracy 0.6084598698481561, with ngrams (1, 2), analyzer word, neighbors 20, weight distance
KNN Accuracy 0.60412147505423, with ngrams (1, 3), analyzer word, neighbors 20, weight uniform
KNN Accuracy 0.6019522776572668, with ngrams (1, 3), analyzer word, neighbors 20, weight distance
KNN Accuracy 0.5976138828633406, with ngrams (1, 4), analyzer word, neighbors 20, weight uniform
KNN Accuracy 0.5976138828633406, with ngrams (1, 4), analyzer word, neighbors 20, weight distance
KNN Accuracy 0.5986984815618221, with ngrams (1, 5), analyzer word, neighbors 20, weight uniform
KNN Accuracy 0.5976138828633406, with ngrams (1, 5), analyzer word, neighbors 20, weight distance
KNN Accuracy 0.5986984815618221, with ngrams (1, 6), analyzer word, neighbors 20, weight uniform
KNN Accuracy 0.5997830802603037, with ngrams (1, 6), analyzer word, neighbors 20, weight distance
KNN Accuracy 0.5976138828633406, with ngrams (1, 7), analyzer word, neighbors 20, weight uniform
KNN Accuracy 0.5986984815618221, with ngrams (1, 7), analyzer word, neighbors 20, weight distance
KNN Accuracy 0.5997830802603037, with ngrams (1, 8), analyzer word, neighbors 20, weight uniform
KNN Accuracy 0.6008676789587852, with ngrams (1, 8), analyzer word, neighbors 20, weight distance
KNN Accuracy 0.5704989154013015, with ngrams (2, 3), analyzer word, neighbors 20, weight uniform
KNN Accuracy 0.5629067245119306, with ngrams (2, 3), analyzer word, neighbors 20, weight distance
