KNN Accuracy 0.8360655737704918, with ngrams (1, 1), analyzer word, neighbors 20, weight uniform
KNN Accuracy 0.8557377049180328, with ngrams (1, 1), analyzer word, neighbors 20, weight distance
KNN Accuracy 0.8229508196721311, with ngrams (1, 2), analyzer word, neighbors 20, weight uniform
KNN Accuracy 0.8295081967213115, with ngrams (1, 2), analyzer word, neighbors 20, weight distance
KNN Accuracy 0.819672131147541, with ngrams (1, 3), analyzer word, neighbors 20, weight uniform
KNN Accuracy 0.8360655737704918, with ngrams (1, 3), analyzer word, neighbors 20, weight distance
KNN Accuracy 0.8262295081967214, with ngrams (1, 4), analyzer word, neighbors 20, weight uniform
KNN Accuracy 0.8360655737704918, with ngrams (1, 4), analyzer word, neighbors 20, weight distance
KNN Accuracy 0.8229508196721311, with ngrams (1, 5), analyzer word, neighbors 20, weight uniform
KNN Accuracy 0.8295081967213115, with ngrams (1, 5), analyzer word, neighbors 20, weight distance
KNN Accuracy 0.819672131147541, with ngrams (1, 6), analyzer word, neighbors 20, weight uniform
KNN Accuracy 0.8360655737704918, with ngrams (1, 6), analyzer word, neighbors 20, weight distance
KNN Accuracy 0.8131147540983606, with ngrams (1, 7), analyzer word, neighbors 20, weight uniform
KNN Accuracy 0.8295081967213115, with ngrams (1, 7), analyzer word, neighbors 20, weight distance
KNN Accuracy 0.8131147540983606, with ngrams (1, 8), analyzer word, neighbors 20, weight uniform
KNN Accuracy 0.8295081967213115, with ngrams (1, 8), analyzer word, neighbors 20, weight distance
KNN Accuracy 0.7868852459016393, with ngrams (2, 3), analyzer word, neighbors 20, weight uniform
KNN Accuracy 0.8032786885245902, with ngrams (2, 3), analyzer word, neighbors 20, weight distance
