KNN Accuracy 0.6075085324232082, with ngrams (1, 1), analyzer word, neighbors 20, weight uniform
KNN Accuracy 0.6757679180887372, with ngrams (1, 1), analyzer word, neighbors 20, weight distance
KNN Accuracy 0.6109215017064846, with ngrams (1, 2), analyzer word, neighbors 20, weight uniform
KNN Accuracy 0.6518771331058021, with ngrams (1, 2), analyzer word, neighbors 20, weight distance
KNN Accuracy 0.6450511945392492, with ngrams (1, 3), analyzer word, neighbors 20, weight uniform
KNN Accuracy 0.6928327645051194, with ngrams (1, 3), analyzer word, neighbors 20, weight distance
KNN Accuracy 0.6382252559726962, with ngrams (1, 4), analyzer word, neighbors 20, weight uniform
KNN Accuracy 0.6757679180887372, with ngrams (1, 4), analyzer word, neighbors 20, weight distance
KNN Accuracy 0.6382252559726962, with ngrams (1, 5), analyzer word, neighbors 20, weight uniform
KNN Accuracy 0.6757679180887372, with ngrams (1, 5), analyzer word, neighbors 20, weight distance
KNN Accuracy 0.6313993174061433, with ngrams (1, 6), analyzer word, neighbors 20, weight uniform
KNN Accuracy 0.6621160409556314, with ngrams (1, 6), analyzer word, neighbors 20, weight distance
KNN Accuracy 0.6416382252559727, with ngrams (1, 7), analyzer word, neighbors 20, weight uniform
KNN Accuracy 0.6689419795221843, with ngrams (1, 7), analyzer word, neighbors 20, weight distance
KNN Accuracy 0.6450511945392492, with ngrams (1, 8), analyzer word, neighbors 20, weight uniform
KNN Accuracy 0.6689419795221843, with ngrams (1, 8), analyzer word, neighbors 20, weight distance
KNN Accuracy 0.5051194539249146, with ngrams (2, 3), analyzer word, neighbors 20, weight uniform
KNN Accuracy 0.5631399317406144, with ngrams (2, 3), analyzer word, neighbors 20, weight distance
