,accuracy,analyzer,neighbors,ngram_range,weights
0,0.576271186440678,word,20,"(1, 1)",uniform
1,0.584180790960452,word,20,"(1, 1)",distance
2,0.5638418079096045,word,20,"(1, 2)",uniform
3,0.5627118644067797,word,20,"(1, 2)",distance
4,0.5672316384180791,word,20,"(1, 3)",uniform
5,0.5683615819209039,word,20,"(1, 3)",distance
6,0.5694915254237288,word,20,"(1, 4)",uniform
7,0.5774011299435028,word,20,"(1, 4)",distance
8,0.5728813559322034,word,20,"(1, 5)",uniform
9,0.5740112994350283,word,20,"(1, 5)",distance
10,0.5717514124293785,word,20,"(1, 6)",uniform
11,0.5694915254237288,word,20,"(1, 6)",distance
12,0.5728813559322034,word,20,"(1, 7)",uniform
13,0.5728813559322034,word,20,"(1, 7)",distance
14,0.5740112994350283,word,20,"(1, 8)",uniform
15,0.5728813559322034,word,20,"(1, 8)",distance
16,0.5683615819209039,word,20,"(2, 3)",uniform
17,0.584180790960452,word,20,"(2, 3)",distance
