,accuracy,analyzer,neighbors,ngram_range,weights
0,0.6214750542299349,word,20,"(1, 1)",uniform
1,0.613882863340564,word,20,"(1, 1)",distance
2,0.6127982646420824,word,20,"(1, 2)",uniform
3,0.6084598698481561,word,20,"(1, 2)",distance
4,0.60412147505423,word,20,"(1, 3)",uniform
5,0.6019522776572668,word,20,"(1, 3)",distance
6,0.5976138828633406,word,20,"(1, 4)",uniform
7,0.5976138828633406,word,20,"(1, 4)",distance
8,0.5986984815618221,word,20,"(1, 5)",uniform
9,0.5976138828633406,word,20,"(1, 5)",distance
10,0.5986984815618221,word,20,"(1, 6)",uniform
11,0.5997830802603037,word,20,"(1, 6)",distance
12,0.5976138828633406,word,20,"(1, 7)",uniform
13,0.5986984815618221,word,20,"(1, 7)",distance
14,0.5997830802603037,word,20,"(1, 8)",uniform
15,0.6008676789587852,word,20,"(1, 8)",distance
16,0.5704989154013015,word,20,"(2, 3)",uniform
17,0.5629067245119306,word,20,"(2, 3)",distance
