,accuracy,analyzer,neighbors,ngram_range,weights
0,0.6983606557377049,word,20,"(1, 1)",uniform
1,0.7344262295081967,word,20,"(1, 1)",distance
2,0.7081967213114754,word,20,"(1, 2)",uniform
3,0.7540983606557377,word,20,"(1, 2)",distance
4,0.7344262295081967,word,20,"(1, 3)",uniform
5,0.7704918032786885,word,20,"(1, 3)",distance
6,0.7311475409836066,word,20,"(1, 4)",uniform
7,0.7639344262295082,word,20,"(1, 4)",distance
8,0.7245901639344262,word,20,"(1, 5)",uniform
9,0.7672131147540984,word,20,"(1, 5)",distance
10,0.7278688524590164,word,20,"(1, 6)",uniform
11,0.7704918032786885,word,20,"(1, 6)",distance
12,0.7213114754098361,word,20,"(1, 7)",uniform
13,0.7639344262295082,word,20,"(1, 7)",distance
14,0.7245901639344262,word,20,"(1, 8)",uniform
15,0.7639344262295082,word,20,"(1, 8)",distance
16,0.6688524590163935,word,20,"(2, 3)",uniform
17,0.7016393442622951,word,20,"(2, 3)",distance
