,accuracy,analyzer,neighbors,ngram_range,weights
0,0.6075085324232082,word,20,"(1, 1)",uniform
1,0.6757679180887372,word,20,"(1, 1)",distance
2,0.6109215017064846,word,20,"(1, 2)",uniform
3,0.6518771331058021,word,20,"(1, 2)",distance
4,0.6450511945392492,word,20,"(1, 3)",uniform
5,0.6928327645051194,word,20,"(1, 3)",distance
6,0.6382252559726962,word,20,"(1, 4)",uniform
7,0.6757679180887372,word,20,"(1, 4)",distance
8,0.6382252559726962,word,20,"(1, 5)",uniform
9,0.6757679180887372,word,20,"(1, 5)",distance
10,0.6313993174061433,word,20,"(1, 6)",uniform
11,0.6621160409556314,word,20,"(1, 6)",distance
12,0.6416382252559727,word,20,"(1, 7)",uniform
13,0.6689419795221843,word,20,"(1, 7)",distance
14,0.6450511945392492,word,20,"(1, 8)",uniform
15,0.6689419795221843,word,20,"(1, 8)",distance
16,0.5051194539249146,word,20,"(2, 3)",uniform
17,0.5631399317406144,word,20,"(2, 3)",distance
