MNB Accuracy 0.6101694915254238, with ngrams (1, 1), analyzer word, alpha 0.1 
MNB Accuracy 0.6033898305084746, with ngrams (1, 1), analyzer word, alpha 1.0 
MNB Accuracy 0.6022598870056497, with ngrams (1, 1), analyzer word, alpha 2 
MNB Accuracy 0.6045197740112994, with ngrams (1, 1), analyzer char, alpha 0.1 
MNB Accuracy 0.6033898305084746, with ngrams (1, 1), analyzer char, alpha 1.0 
MNB Accuracy 0.6022598870056497, with ngrams (1, 1), analyzer char, alpha 2 
MNB Accuracy 0.615819209039548, with ngrams (1, 2), analyzer word, alpha 0.1 
MNB Accuracy 0.5988700564971752, with ngrams (1, 2), analyzer word, alpha 1.0 
MNB Accuracy 0.5988700564971752, with ngrams (1, 2), analyzer word, alpha 2 
MNB Accuracy 0.6033898305084746, with ngrams (1, 2), analyzer char, alpha 0.1 
MNB Accuracy 0.6, with ngrams (1, 2), analyzer char, alpha 1.0 
MNB Accuracy 0.5988700564971752, with ngrams (1, 2), analyzer char, alpha 2 
MNB Accuracy 0.607909604519774, with ngrams (1, 3), analyzer word, alpha 0.1 
MNB Accuracy 0.5988700564971752, with ngrams (1, 3), analyzer word, alpha 1.0 
MNB Accuracy 0.5988700564971752, with ngrams (1, 3), analyzer word, alpha 2 
MNB Accuracy 0.5966101694915255, with ngrams (1, 3), analyzer char, alpha 0.1 
MNB Accuracy 0.5988700564971752, with ngrams (1, 3), analyzer char, alpha 1.0 
MNB Accuracy 0.5988700564971752, with ngrams (1, 3), analyzer char, alpha 2 
MNB Accuracy 0.6067796610169491, with ngrams (1, 4), analyzer word, alpha 0.1 
MNB Accuracy 0.5988700564971752, with ngrams (1, 4), analyzer word, alpha 1.0 
MNB Accuracy 0.5988700564971752, with ngrams (1, 4), analyzer word, alpha 2 
MNB Accuracy 0.5988700564971752, with ngrams (1, 4), analyzer char, alpha 0.1 
MNB Accuracy 0.5988700564971752, with ngrams (1, 4), analyzer char, alpha 1.0 
MNB Accuracy 0.5988700564971752, with ngrams (1, 4), analyzer char, alpha 2 
MNB Accuracy 0.6022598870056497, with ngrams (1, 5), analyzer word, alpha 0.1 
MNB Accuracy 0.5988700564971752, with ngrams (1, 5), analyzer word, alpha 1.0 
MNB Accuracy 0.5988700564971752, with ngrams (1, 5), analyzer word, alpha 2 
MNB Accuracy 0.6, with ngrams (1, 5), analyzer char, alpha 0.1 
MNB Accuracy 0.5988700564971752, with ngrams (1, 5), analyzer char, alpha 1.0 
MNB Accuracy 0.5988700564971752, with ngrams (1, 5), analyzer char, alpha 2 
MNB Accuracy 0.6, with ngrams (1, 6), analyzer word, alpha 0.1 
MNB Accuracy 0.5988700564971752, with ngrams (1, 6), analyzer word, alpha 1.0 
MNB Accuracy 0.5988700564971752, with ngrams (1, 6), analyzer word, alpha 2 
MNB Accuracy 0.5988700564971752, with ngrams (1, 6), analyzer char, alpha 0.1 
MNB Accuracy 0.5988700564971752, with ngrams (1, 6), analyzer char, alpha 1.0 
MNB Accuracy 0.5988700564971752, with ngrams (1, 6), analyzer char, alpha 2 
MNB Accuracy 0.6, with ngrams (1, 7), analyzer word, alpha 0.1 
MNB Accuracy 0.5988700564971752, with ngrams (1, 7), analyzer word, alpha 1.0 
MNB Accuracy 0.5988700564971752, with ngrams (1, 7), analyzer word, alpha 2 
MNB Accuracy 0.5988700564971752, with ngrams (1, 7), analyzer char, alpha 0.1 
MNB Accuracy 0.5988700564971752, with ngrams (1, 7), analyzer char, alpha 1.0 
MNB Accuracy 0.5988700564971752, with ngrams (1, 7), analyzer char, alpha 2 
MNB Accuracy 0.5977401129943503, with ngrams (1, 8), analyzer word, alpha 0.1 
MNB Accuracy 0.5988700564971752, with ngrams (1, 8), analyzer word, alpha 1.0 
MNB Accuracy 0.5988700564971752, with ngrams (1, 8), analyzer word, alpha 2 
MNB Accuracy 0.5988700564971752, with ngrams (1, 8), analyzer char, alpha 0.1 
MNB Accuracy 0.5988700564971752, with ngrams (1, 8), analyzer char, alpha 1.0 
MNB Accuracy 0.5988700564971752, with ngrams (1, 8), analyzer char, alpha 2 
MNB Accuracy 0.6112994350282486, with ngrams (2, 3), analyzer word, alpha 0.1 
MNB Accuracy 0.5988700564971752, with ngrams (2, 3), analyzer word, alpha 1.0 
MNB Accuracy 0.5988700564971752, with ngrams (2, 3), analyzer word, alpha 2 
MNB Accuracy 0.607909604519774, with ngrams (2, 3), analyzer char, alpha 0.1 
MNB Accuracy 0.5943502824858757, with ngrams (2, 3), analyzer char, alpha 1.0 
MNB Accuracy 0.5988700564971752, with ngrams (2, 3), analyzer char, alpha 2 
