MNB Accuracy 0.6095444685466378, with ngrams (1, 1), analyzer word, alpha 0.1 
MNB Accuracy 0.6203904555314533, with ngrams (1, 1), analyzer word, alpha 1.0 
MNB Accuracy 0.6203904555314533, with ngrams (1, 1), analyzer word, alpha 2 
MNB Accuracy 0.6203904555314533, with ngrams (1, 1), analyzer char, alpha 0.1 
MNB Accuracy 0.6203904555314533, with ngrams (1, 1), analyzer char, alpha 1.0 
MNB Accuracy 0.6203904555314533, with ngrams (1, 1), analyzer char, alpha 2 
MNB Accuracy 0.6182212581344902, with ngrams (1, 2), analyzer word, alpha 0.1 
MNB Accuracy 0.6203904555314533, with ngrams (1, 2), analyzer word, alpha 1.0 
MNB Accuracy 0.6203904555314533, with ngrams (1, 2), analyzer word, alpha 2 
MNB Accuracy 0.6203904555314533, with ngrams (1, 2), analyzer char, alpha 0.1 
MNB Accuracy 0.6203904555314533, with ngrams (1, 2), analyzer char, alpha 1.0 
MNB Accuracy 0.6203904555314533, with ngrams (1, 2), analyzer char, alpha 2 
MNB Accuracy 0.6203904555314533, with ngrams (1, 3), analyzer word, alpha 0.1 
MNB Accuracy 0.6203904555314533, with ngrams (1, 3), analyzer word, alpha 1.0 
MNB Accuracy 0.6203904555314533, with ngrams (1, 3), analyzer word, alpha 2 
MNB Accuracy 0.6203904555314533, with ngrams (1, 3), analyzer char, alpha 0.1 
MNB Accuracy 0.6203904555314533, with ngrams (1, 3), analyzer char, alpha 1.0 
MNB Accuracy 0.6203904555314533, with ngrams (1, 3), analyzer char, alpha 2 
MNB Accuracy 0.6193058568329718, with ngrams (1, 4), analyzer word, alpha 0.1 
MNB Accuracy 0.6203904555314533, with ngrams (1, 4), analyzer word, alpha 1.0 
MNB Accuracy 0.6203904555314533, with ngrams (1, 4), analyzer word, alpha 2 
MNB Accuracy 0.6203904555314533, with ngrams (1, 4), analyzer char, alpha 0.1 
MNB Accuracy 0.6203904555314533, with ngrams (1, 4), analyzer char, alpha 1.0 
MNB Accuracy 0.6203904555314533, with ngrams (1, 4), analyzer char, alpha 2 
MNB Accuracy 0.6193058568329718, with ngrams (1, 5), analyzer word, alpha 0.1 
MNB Accuracy 0.6203904555314533, with ngrams (1, 5), analyzer word, alpha 1.0 
MNB Accuracy 0.6203904555314533, with ngrams (1, 5), analyzer word, alpha 2 
MNB Accuracy 0.6203904555314533, with ngrams (1, 5), analyzer char, alpha 0.1 
MNB Accuracy 0.6203904555314533, with ngrams (1, 5), analyzer char, alpha 1.0 
MNB Accuracy 0.6203904555314533, with ngrams (1, 5), analyzer char, alpha 2 
MNB Accuracy 0.6193058568329718, with ngrams (1, 6), analyzer word, alpha 0.1 
MNB Accuracy 0.6203904555314533, with ngrams (1, 6), analyzer word, alpha 1.0 
MNB Accuracy 0.6203904555314533, with ngrams (1, 6), analyzer word, alpha 2 
MNB Accuracy 0.6203904555314533, with ngrams (1, 6), analyzer char, alpha 0.1 
MNB Accuracy 0.6203904555314533, with ngrams (1, 6), analyzer char, alpha 1.0 
MNB Accuracy 0.6203904555314533, with ngrams (1, 6), analyzer char, alpha 2 
MNB Accuracy 0.6193058568329718, with ngrams (1, 7), analyzer word, alpha 0.1 
MNB Accuracy 0.6203904555314533, with ngrams (1, 7), analyzer word, alpha 1.0 
MNB Accuracy 0.6203904555314533, with ngrams (1, 7), analyzer word, alpha 2 
MNB Accuracy 0.6203904555314533, with ngrams (1, 7), analyzer char, alpha 0.1 
MNB Accuracy 0.6203904555314533, with ngrams (1, 7), analyzer char, alpha 1.0 
MNB Accuracy 0.6203904555314533, with ngrams (1, 7), analyzer char, alpha 2 
MNB Accuracy 0.6193058568329718, with ngrams (1, 8), analyzer word, alpha 0.1 
MNB Accuracy 0.6203904555314533, with ngrams (1, 8), analyzer word, alpha 1.0 
MNB Accuracy 0.6203904555314533, with ngrams (1, 8), analyzer word, alpha 2 
MNB Accuracy 0.6203904555314533, with ngrams (1, 8), analyzer char, alpha 0.1 
MNB Accuracy 0.6203904555314533, with ngrams (1, 8), analyzer char, alpha 1.0 
MNB Accuracy 0.6203904555314533, with ngrams (1, 8), analyzer char, alpha 2 
MNB Accuracy 0.6127982646420824, with ngrams (2, 3), analyzer word, alpha 0.1 
MNB Accuracy 0.6203904555314533, with ngrams (2, 3), analyzer word, alpha 1.0 
MNB Accuracy 0.6203904555314533, with ngrams (2, 3), analyzer word, alpha 2 
MNB Accuracy 0.6203904555314533, with ngrams (2, 3), analyzer char, alpha 0.1 
MNB Accuracy 0.6203904555314533, with ngrams (2, 3), analyzer char, alpha 1.0 
MNB Accuracy 0.6203904555314533, with ngrams (2, 3), analyzer char, alpha 2 
