MNB Accuracy 0.2632768361581921, with ngrams (1, 1), analyzer word, alpha 0.1 
MNB Accuracy 0.24745762711864408, with ngrams (1, 1), analyzer word, alpha 1.0 
MNB Accuracy 0.2497175141242938, with ngrams (1, 1), analyzer word, alpha 2 
MNB Accuracy 0.25649717514124293, with ngrams (1, 1), analyzer char, alpha 0.1 
MNB Accuracy 0.25310734463276835, with ngrams (1, 1), analyzer char, alpha 1.0 
MNB Accuracy 0.25084745762711863, with ngrams (1, 1), analyzer char, alpha 2 
MNB Accuracy 0.2621468926553672, with ngrams (1, 2), analyzer word, alpha 0.1 
MNB Accuracy 0.2497175141242938, with ngrams (1, 2), analyzer word, alpha 1.0 
MNB Accuracy 0.2497175141242938, with ngrams (1, 2), analyzer word, alpha 2 
MNB Accuracy 0.26101694915254237, with ngrams (1, 2), analyzer char, alpha 0.1 
MNB Accuracy 0.2497175141242938, with ngrams (1, 2), analyzer char, alpha 1.0 
MNB Accuracy 0.2497175141242938, with ngrams (1, 2), analyzer char, alpha 2 
MNB Accuracy 0.25875706214689265, with ngrams (1, 3), analyzer word, alpha 0.1 
MNB Accuracy 0.2497175141242938, with ngrams (1, 3), analyzer word, alpha 1.0 
MNB Accuracy 0.2497175141242938, with ngrams (1, 3), analyzer word, alpha 2 
MNB Accuracy 0.25875706214689265, with ngrams (1, 3), analyzer char, alpha 0.1 
MNB Accuracy 0.2497175141242938, with ngrams (1, 3), analyzer char, alpha 1.0 
MNB Accuracy 0.2497175141242938, with ngrams (1, 3), analyzer char, alpha 2 
MNB Accuracy 0.25875706214689265, with ngrams (1, 4), analyzer word, alpha 0.1 
MNB Accuracy 0.2497175141242938, with ngrams (1, 4), analyzer word, alpha 1.0 
MNB Accuracy 0.2497175141242938, with ngrams (1, 4), analyzer word, alpha 2 
MNB Accuracy 0.25310734463276835, with ngrams (1, 4), analyzer char, alpha 0.1 
MNB Accuracy 0.2497175141242938, with ngrams (1, 4), analyzer char, alpha 1.0 
MNB Accuracy 0.2497175141242938, with ngrams (1, 4), analyzer char, alpha 2 
MNB Accuracy 0.25875706214689265, with ngrams (1, 5), analyzer word, alpha 0.1 
MNB Accuracy 0.2497175141242938, with ngrams (1, 5), analyzer word, alpha 1.0 
MNB Accuracy 0.2497175141242938, with ngrams (1, 5), analyzer word, alpha 2 
MNB Accuracy 0.2497175141242938, with ngrams (1, 5), analyzer char, alpha 0.1 
MNB Accuracy 0.2497175141242938, with ngrams (1, 5), analyzer char, alpha 1.0 
MNB Accuracy 0.2497175141242938, with ngrams (1, 5), analyzer char, alpha 2 
MNB Accuracy 0.25875706214689265, with ngrams (1, 6), analyzer word, alpha 0.1 
MNB Accuracy 0.2497175141242938, with ngrams (1, 6), analyzer word, alpha 1.0 
MNB Accuracy 0.2497175141242938, with ngrams (1, 6), analyzer word, alpha 2 
MNB Accuracy 0.2497175141242938, with ngrams (1, 6), analyzer char, alpha 0.1 
MNB Accuracy 0.2497175141242938, with ngrams (1, 6), analyzer char, alpha 1.0 
MNB Accuracy 0.2497175141242938, with ngrams (1, 6), analyzer char, alpha 2 
MNB Accuracy 0.2576271186440678, with ngrams (1, 7), analyzer word, alpha 0.1 
MNB Accuracy 0.2497175141242938, with ngrams (1, 7), analyzer word, alpha 1.0 
MNB Accuracy 0.2497175141242938, with ngrams (1, 7), analyzer word, alpha 2 
MNB Accuracy 0.2497175141242938, with ngrams (1, 7), analyzer char, alpha 0.1 
MNB Accuracy 0.2497175141242938, with ngrams (1, 7), analyzer char, alpha 1.0 
MNB Accuracy 0.2497175141242938, with ngrams (1, 7), analyzer char, alpha 2 
MNB Accuracy 0.25649717514124293, with ngrams (1, 8), analyzer word, alpha 0.1 
MNB Accuracy 0.2497175141242938, with ngrams (1, 8), analyzer word, alpha 1.0 
MNB Accuracy 0.2497175141242938, with ngrams (1, 8), analyzer word, alpha 2 
MNB Accuracy 0.2497175141242938, with ngrams (1, 8), analyzer char, alpha 0.1 
MNB Accuracy 0.2497175141242938, with ngrams (1, 8), analyzer char, alpha 1.0 
MNB Accuracy 0.2497175141242938, with ngrams (1, 8), analyzer char, alpha 2 
MNB Accuracy 0.2632768361581921, with ngrams (2, 3), analyzer word, alpha 0.1 
MNB Accuracy 0.2497175141242938, with ngrams (2, 3), analyzer word, alpha 1.0 
MNB Accuracy 0.2497175141242938, with ngrams (2, 3), analyzer word, alpha 2 
MNB Accuracy 0.26440677966101694, with ngrams (2, 3), analyzer char, alpha 0.1 
MNB Accuracy 0.2497175141242938, with ngrams (2, 3), analyzer char, alpha 1.0 
MNB Accuracy 0.2497175141242938, with ngrams (2, 3), analyzer char, alpha 2 
