MNB Accuracy 0.21366594360086769, with ngrams (1, 1), analyzer word, alpha 0.1 
MNB Accuracy 0.19739696312364424, with ngrams (1, 1), analyzer word, alpha 1.0 
MNB Accuracy 0.2039045553145336, with ngrams (1, 1), analyzer word, alpha 2 
MNB Accuracy 0.20607375271149675, with ngrams (1, 1), analyzer char, alpha 0.1 
MNB Accuracy 0.20607375271149675, with ngrams (1, 1), analyzer char, alpha 1.0 
MNB Accuracy 0.20607375271149675, with ngrams (1, 1), analyzer char, alpha 2 
MNB Accuracy 0.19522776572668113, with ngrams (1, 2), analyzer word, alpha 0.1 
MNB Accuracy 0.20607375271149675, with ngrams (1, 2), analyzer word, alpha 1.0 
MNB Accuracy 0.20498915401301518, with ngrams (1, 2), analyzer word, alpha 2 
MNB Accuracy 0.20498915401301518, with ngrams (1, 2), analyzer char, alpha 0.1 
MNB Accuracy 0.20607375271149675, with ngrams (1, 2), analyzer char, alpha 1.0 
MNB Accuracy 0.20607375271149675, with ngrams (1, 2), analyzer char, alpha 2 
MNB Accuracy 0.19088937093275488, with ngrams (1, 3), analyzer word, alpha 0.1 
MNB Accuracy 0.20498915401301518, with ngrams (1, 3), analyzer word, alpha 1.0 
MNB Accuracy 0.20607375271149675, with ngrams (1, 3), analyzer word, alpha 2 
MNB Accuracy 0.20607375271149675, with ngrams (1, 3), analyzer char, alpha 0.1 
MNB Accuracy 0.20607375271149675, with ngrams (1, 3), analyzer char, alpha 1.0 
MNB Accuracy 0.20607375271149675, with ngrams (1, 3), analyzer char, alpha 2 
MNB Accuracy 0.19197396963123645, with ngrams (1, 4), analyzer word, alpha 0.1 
MNB Accuracy 0.20498915401301518, with ngrams (1, 4), analyzer word, alpha 1.0 
MNB Accuracy 0.20607375271149675, with ngrams (1, 4), analyzer word, alpha 2 
MNB Accuracy 0.20607375271149675, with ngrams (1, 4), analyzer char, alpha 0.1 
MNB Accuracy 0.20607375271149675, with ngrams (1, 4), analyzer char, alpha 1.0 
MNB Accuracy 0.20607375271149675, with ngrams (1, 4), analyzer char, alpha 2 
MNB Accuracy 0.19305856832971802, with ngrams (1, 5), analyzer word, alpha 0.1 
MNB Accuracy 0.20498915401301518, with ngrams (1, 5), analyzer word, alpha 1.0 
MNB Accuracy 0.20607375271149675, with ngrams (1, 5), analyzer word, alpha 2 
MNB Accuracy 0.20607375271149675, with ngrams (1, 5), analyzer char, alpha 0.1 
MNB Accuracy 0.20607375271149675, with ngrams (1, 5), analyzer char, alpha 1.0 
MNB Accuracy 0.20607375271149675, with ngrams (1, 5), analyzer char, alpha 2 
MNB Accuracy 0.1963123644251627, with ngrams (1, 6), analyzer word, alpha 0.1 
MNB Accuracy 0.20498915401301518, with ngrams (1, 6), analyzer word, alpha 1.0 
MNB Accuracy 0.20607375271149675, with ngrams (1, 6), analyzer word, alpha 2 
MNB Accuracy 0.20607375271149675, with ngrams (1, 6), analyzer char, alpha 0.1 
MNB Accuracy 0.20607375271149675, with ngrams (1, 6), analyzer char, alpha 1.0 
MNB Accuracy 0.20607375271149675, with ngrams (1, 6), analyzer char, alpha 2 
MNB Accuracy 0.1984815618221258, with ngrams (1, 7), analyzer word, alpha 0.1 
MNB Accuracy 0.20607375271149675, with ngrams (1, 7), analyzer word, alpha 1.0 
MNB Accuracy 0.20607375271149675, with ngrams (1, 7), analyzer word, alpha 2 
MNB Accuracy 0.20607375271149675, with ngrams (1, 7), analyzer char, alpha 0.1 
MNB Accuracy 0.20607375271149675, with ngrams (1, 7), analyzer char, alpha 1.0 
MNB Accuracy 0.20607375271149675, with ngrams (1, 7), analyzer char, alpha 2 
MNB Accuracy 0.19739696312364424, with ngrams (1, 8), analyzer word, alpha 0.1 
MNB Accuracy 0.20607375271149675, with ngrams (1, 8), analyzer word, alpha 1.0 
MNB Accuracy 0.20607375271149675, with ngrams (1, 8), analyzer word, alpha 2 
MNB Accuracy 0.20607375271149675, with ngrams (1, 8), analyzer char, alpha 0.1 
MNB Accuracy 0.20607375271149675, with ngrams (1, 8), analyzer char, alpha 1.0 
MNB Accuracy 0.20607375271149675, with ngrams (1, 8), analyzer char, alpha 2 
MNB Accuracy 0.1984815618221258, with ngrams (2, 3), analyzer word, alpha 0.1 
MNB Accuracy 0.20281995661605207, with ngrams (2, 3), analyzer word, alpha 1.0 
MNB Accuracy 0.20498915401301518, with ngrams (2, 3), analyzer word, alpha 2 
MNB Accuracy 0.20715835140997832, with ngrams (2, 3), analyzer char, alpha 0.1 
MNB Accuracy 0.20607375271149675, with ngrams (2, 3), analyzer char, alpha 1.0 
MNB Accuracy 0.20607375271149675, with ngrams (2, 3), analyzer char, alpha 2 
