MNB Accuracy 0.839344262295082, with ngrams (1, 1), analyzer word, alpha 0.1 
MNB Accuracy 0.6131147540983607, with ngrams (1, 1), analyzer word, alpha 1.0 
MNB Accuracy 0.5868852459016394, with ngrams (1, 1), analyzer word, alpha 2 
MNB Accuracy 0.5836065573770491, with ngrams (1, 1), analyzer char, alpha 0.1 
MNB Accuracy 0.580327868852459, with ngrams (1, 1), analyzer char, alpha 1.0 
MNB Accuracy 0.580327868852459, with ngrams (1, 1), analyzer char, alpha 2 
MNB Accuracy 0.7704918032786885, with ngrams (1, 2), analyzer word, alpha 0.1 
MNB Accuracy 0.5868852459016394, with ngrams (1, 2), analyzer word, alpha 1.0 
MNB Accuracy 0.580327868852459, with ngrams (1, 2), analyzer word, alpha 2 
MNB Accuracy 0.5901639344262295, with ngrams (1, 2), analyzer char, alpha 0.1 
MNB Accuracy 0.580327868852459, with ngrams (1, 2), analyzer char, alpha 1.0 
MNB Accuracy 0.580327868852459, with ngrams (1, 2), analyzer char, alpha 2 
MNB Accuracy 0.740983606557377, with ngrams (1, 3), analyzer word, alpha 0.1 
MNB Accuracy 0.5836065573770491, with ngrams (1, 3), analyzer word, alpha 1.0 
MNB Accuracy 0.580327868852459, with ngrams (1, 3), analyzer word, alpha 2 
MNB Accuracy 0.6131147540983607, with ngrams (1, 3), analyzer char, alpha 0.1 
MNB Accuracy 0.580327868852459, with ngrams (1, 3), analyzer char, alpha 1.0 
MNB Accuracy 0.580327868852459, with ngrams (1, 3), analyzer char, alpha 2 
MNB Accuracy 0.7049180327868853, with ngrams (1, 4), analyzer word, alpha 0.1 
MNB Accuracy 0.5836065573770491, with ngrams (1, 4), analyzer word, alpha 1.0 
MNB Accuracy 0.580327868852459, with ngrams (1, 4), analyzer word, alpha 2 
MNB Accuracy 0.6065573770491803, with ngrams (1, 4), analyzer char, alpha 0.1 
MNB Accuracy 0.580327868852459, with ngrams (1, 4), analyzer char, alpha 1.0 
MNB Accuracy 0.580327868852459, with ngrams (1, 4), analyzer char, alpha 2 
MNB Accuracy 0.6852459016393443, with ngrams (1, 5), analyzer word, alpha 0.1 
MNB Accuracy 0.580327868852459, with ngrams (1, 5), analyzer word, alpha 1.0 
MNB Accuracy 0.580327868852459, with ngrams (1, 5), analyzer word, alpha 2 
MNB Accuracy 0.5934426229508196, with ngrams (1, 5), analyzer char, alpha 0.1 
MNB Accuracy 0.580327868852459, with ngrams (1, 5), analyzer char, alpha 1.0 
MNB Accuracy 0.580327868852459, with ngrams (1, 5), analyzer char, alpha 2 
MNB Accuracy 0.6622950819672131, with ngrams (1, 6), analyzer word, alpha 0.1 
MNB Accuracy 0.5836065573770491, with ngrams (1, 6), analyzer word, alpha 1.0 
MNB Accuracy 0.580327868852459, with ngrams (1, 6), analyzer word, alpha 2 
MNB Accuracy 0.5868852459016394, with ngrams (1, 6), analyzer char, alpha 0.1 
MNB Accuracy 0.580327868852459, with ngrams (1, 6), analyzer char, alpha 1.0 
MNB Accuracy 0.580327868852459, with ngrams (1, 6), analyzer char, alpha 2 
MNB Accuracy 0.6524590163934426, with ngrams (1, 7), analyzer word, alpha 0.1 
MNB Accuracy 0.5836065573770491, with ngrams (1, 7), analyzer word, alpha 1.0 
MNB Accuracy 0.580327868852459, with ngrams (1, 7), analyzer word, alpha 2 
MNB Accuracy 0.5868852459016394, with ngrams (1, 7), analyzer char, alpha 0.1 
MNB Accuracy 0.580327868852459, with ngrams (1, 7), analyzer char, alpha 1.0 
MNB Accuracy 0.580327868852459, with ngrams (1, 7), analyzer char, alpha 2 
MNB Accuracy 0.6491803278688525, with ngrams (1, 8), analyzer word, alpha 0.1 
MNB Accuracy 0.5868852459016394, with ngrams (1, 8), analyzer word, alpha 1.0 
MNB Accuracy 0.580327868852459, with ngrams (1, 8), analyzer word, alpha 2 
MNB Accuracy 0.5868852459016394, with ngrams (1, 8), analyzer char, alpha 0.1 
MNB Accuracy 0.580327868852459, with ngrams (1, 8), analyzer char, alpha 1.0 
MNB Accuracy 0.580327868852459, with ngrams (1, 8), analyzer char, alpha 2 
MNB Accuracy 0.7836065573770492, with ngrams (2, 3), analyzer word, alpha 0.1 
MNB Accuracy 0.5967213114754099, with ngrams (2, 3), analyzer word, alpha 1.0 
MNB Accuracy 0.580327868852459, with ngrams (2, 3), analyzer word, alpha 2 
MNB Accuracy 0.8, with ngrams (2, 3), analyzer char, alpha 0.1 
MNB Accuracy 0.580327868852459, with ngrams (2, 3), analyzer char, alpha 1.0 
MNB Accuracy 0.580327868852459, with ngrams (2, 3), analyzer char, alpha 2 
