MNB Accuracy 0.8805460750853242, with ngrams (1, 1), analyzer word, alpha 0.1 
MNB Accuracy 0.6416382252559727, with ngrams (1, 1), analyzer word, alpha 1.0 
MNB Accuracy 0.6006825938566553, with ngrams (1, 1), analyzer word, alpha 2 
MNB Accuracy 0.6143344709897611, with ngrams (1, 1), analyzer char, alpha 0.1 
MNB Accuracy 0.5733788395904437, with ngrams (1, 1), analyzer char, alpha 1.0 
MNB Accuracy 0.5665529010238908, with ngrams (1, 1), analyzer char, alpha 2 
MNB Accuracy 0.7986348122866894, with ngrams (1, 2), analyzer word, alpha 0.1 
MNB Accuracy 0.6313993174061433, with ngrams (1, 2), analyzer word, alpha 1.0 
MNB Accuracy 0.6006825938566553, with ngrams (1, 2), analyzer word, alpha 2 
MNB Accuracy 0.6655290102389079, with ngrams (1, 2), analyzer char, alpha 0.1 
MNB Accuracy 0.5733788395904437, with ngrams (1, 2), analyzer char, alpha 1.0 
MNB Accuracy 0.5665529010238908, with ngrams (1, 2), analyzer char, alpha 2 
MNB Accuracy 0.7849829351535836, with ngrams (1, 3), analyzer word, alpha 0.1 
MNB Accuracy 0.6348122866894198, with ngrams (1, 3), analyzer word, alpha 1.0 
MNB Accuracy 0.6040955631399317, with ngrams (1, 3), analyzer word, alpha 2 
MNB Accuracy 0.6655290102389079, with ngrams (1, 3), analyzer char, alpha 0.1 
MNB Accuracy 0.5665529010238908, with ngrams (1, 3), analyzer char, alpha 1.0 
MNB Accuracy 0.5631399317406144, with ngrams (1, 3), analyzer char, alpha 2 
MNB Accuracy 0.7815699658703071, with ngrams (1, 4), analyzer word, alpha 0.1 
MNB Accuracy 0.6484641638225256, with ngrams (1, 4), analyzer word, alpha 1.0 
MNB Accuracy 0.6075085324232082, with ngrams (1, 4), analyzer word, alpha 2 
MNB Accuracy 0.6552901023890785, with ngrams (1, 4), analyzer char, alpha 0.1 
MNB Accuracy 0.5699658703071673, with ngrams (1, 4), analyzer char, alpha 1.0 
MNB Accuracy 0.5665529010238908, with ngrams (1, 4), analyzer char, alpha 2 
MNB Accuracy 0.7781569965870307, with ngrams (1, 5), analyzer word, alpha 0.1 
MNB Accuracy 0.6484641638225256, with ngrams (1, 5), analyzer word, alpha 1.0 
MNB Accuracy 0.6075085324232082, with ngrams (1, 5), analyzer word, alpha 2 
MNB Accuracy 0.6552901023890785, with ngrams (1, 5), analyzer char, alpha 0.1 
MNB Accuracy 0.5699658703071673, with ngrams (1, 5), analyzer char, alpha 1.0 
MNB Accuracy 0.5699658703071673, with ngrams (1, 5), analyzer char, alpha 2 
MNB Accuracy 0.7679180887372014, with ngrams (1, 6), analyzer word, alpha 0.1 
MNB Accuracy 0.6484641638225256, with ngrams (1, 6), analyzer word, alpha 1.0 
MNB Accuracy 0.6109215017064846, with ngrams (1, 6), analyzer word, alpha 2 
MNB Accuracy 0.6655290102389079, with ngrams (1, 6), analyzer char, alpha 0.1 
MNB Accuracy 0.5699658703071673, with ngrams (1, 6), analyzer char, alpha 1.0 
MNB Accuracy 0.5699658703071673, with ngrams (1, 6), analyzer char, alpha 2 
MNB Accuracy 0.764505119453925, with ngrams (1, 7), analyzer word, alpha 0.1 
MNB Accuracy 0.6484641638225256, with ngrams (1, 7), analyzer word, alpha 1.0 
MNB Accuracy 0.6109215017064846, with ngrams (1, 7), analyzer word, alpha 2 
MNB Accuracy 0.6791808873720137, with ngrams (1, 7), analyzer char, alpha 0.1 
MNB Accuracy 0.5699658703071673, with ngrams (1, 7), analyzer char, alpha 1.0 
MNB Accuracy 0.5699658703071673, with ngrams (1, 7), analyzer char, alpha 2 
MNB Accuracy 0.7610921501706485, with ngrams (1, 8), analyzer word, alpha 0.1 
MNB Accuracy 0.6484641638225256, with ngrams (1, 8), analyzer word, alpha 1.0 
MNB Accuracy 0.6109215017064846, with ngrams (1, 8), analyzer word, alpha 2 
MNB Accuracy 0.689419795221843, with ngrams (1, 8), analyzer char, alpha 0.1 
MNB Accuracy 0.590443686006826, with ngrams (1, 8), analyzer char, alpha 1.0 
MNB Accuracy 0.5699658703071673, with ngrams (1, 8), analyzer char, alpha 2 
MNB Accuracy 0.8088737201365188, with ngrams (2, 3), analyzer word, alpha 0.1 
MNB Accuracy 0.6757679180887372, with ngrams (2, 3), analyzer word, alpha 1.0 
MNB Accuracy 0.6279863481228669, with ngrams (2, 3), analyzer word, alpha 2 
MNB Accuracy 0.7474402730375427, with ngrams (2, 3), analyzer char, alpha 0.1 
MNB Accuracy 0.5767918088737202, with ngrams (2, 3), analyzer char, alpha 1.0 
MNB Accuracy 0.5631399317406144, with ngrams (2, 3), analyzer char, alpha 2 
