MNB Accuracy 0.5573770491803278, with ngrams (1, 1), analyzer word, alpha 0.1 
MNB Accuracy 0.3016393442622951, with ngrams (1, 1), analyzer word, alpha 1.0 
MNB Accuracy 0.26229508196721313, with ngrams (1, 1), analyzer word, alpha 2 
MNB Accuracy 0.21639344262295082, with ngrams (1, 1), analyzer char, alpha 0.1 
MNB Accuracy 0.19672131147540983, with ngrams (1, 1), analyzer char, alpha 1.0 
MNB Accuracy 0.1901639344262295, with ngrams (1, 1), analyzer char, alpha 2 
MNB Accuracy 0.4524590163934426, with ngrams (1, 2), analyzer word, alpha 0.1 
MNB Accuracy 0.28852459016393445, with ngrams (1, 2), analyzer word, alpha 1.0 
MNB Accuracy 0.24918032786885247, with ngrams (1, 2), analyzer word, alpha 2 
MNB Accuracy 0.22950819672131148, with ngrams (1, 2), analyzer char, alpha 0.1 
MNB Accuracy 0.19344262295081968, with ngrams (1, 2), analyzer char, alpha 1.0 
MNB Accuracy 0.1901639344262295, with ngrams (1, 2), analyzer char, alpha 2 
MNB Accuracy 0.42295081967213116, with ngrams (1, 3), analyzer word, alpha 0.1 
MNB Accuracy 0.2786885245901639, with ngrams (1, 3), analyzer word, alpha 1.0 
MNB Accuracy 0.23934426229508196, with ngrams (1, 3), analyzer word, alpha 2 
MNB Accuracy 0.25573770491803277, with ngrams (1, 3), analyzer char, alpha 0.1 
MNB Accuracy 0.20655737704918034, with ngrams (1, 3), analyzer char, alpha 1.0 
MNB Accuracy 0.19344262295081968, with ngrams (1, 3), analyzer char, alpha 2 
MNB Accuracy 0.40327868852459015, with ngrams (1, 4), analyzer word, alpha 0.1 
MNB Accuracy 0.2754098360655738, with ngrams (1, 4), analyzer word, alpha 1.0 
MNB Accuracy 0.2360655737704918, with ngrams (1, 4), analyzer word, alpha 2 
MNB Accuracy 0.2786885245901639, with ngrams (1, 4), analyzer char, alpha 0.1 
MNB Accuracy 0.2098360655737705, with ngrams (1, 4), analyzer char, alpha 1.0 
MNB Accuracy 0.20655737704918034, with ngrams (1, 4), analyzer char, alpha 2 
MNB Accuracy 0.3901639344262295, with ngrams (1, 5), analyzer word, alpha 0.1 
MNB Accuracy 0.2721311475409836, with ngrams (1, 5), analyzer word, alpha 1.0 
MNB Accuracy 0.2360655737704918, with ngrams (1, 5), analyzer word, alpha 2 
MNB Accuracy 0.28852459016393445, with ngrams (1, 5), analyzer char, alpha 0.1 
MNB Accuracy 0.2098360655737705, with ngrams (1, 5), analyzer char, alpha 1.0 
MNB Accuracy 0.20655737704918034, with ngrams (1, 5), analyzer char, alpha 2 
MNB Accuracy 0.3836065573770492, with ngrams (1, 6), analyzer word, alpha 0.1 
MNB Accuracy 0.2721311475409836, with ngrams (1, 6), analyzer word, alpha 1.0 
MNB Accuracy 0.2360655737704918, with ngrams (1, 6), analyzer word, alpha 2 
MNB Accuracy 0.29508196721311475, with ngrams (1, 6), analyzer char, alpha 0.1 
MNB Accuracy 0.2098360655737705, with ngrams (1, 6), analyzer char, alpha 1.0 
MNB Accuracy 0.2098360655737705, with ngrams (1, 6), analyzer char, alpha 2 
MNB Accuracy 0.3737704918032787, with ngrams (1, 7), analyzer word, alpha 0.1 
MNB Accuracy 0.2721311475409836, with ngrams (1, 7), analyzer word, alpha 1.0 
MNB Accuracy 0.2262295081967213, with ngrams (1, 7), analyzer word, alpha 2 
MNB Accuracy 0.3016393442622951, with ngrams (1, 7), analyzer char, alpha 0.1 
MNB Accuracy 0.2098360655737705, with ngrams (1, 7), analyzer char, alpha 1.0 
MNB Accuracy 0.2098360655737705, with ngrams (1, 7), analyzer char, alpha 2 
MNB Accuracy 0.3704918032786885, with ngrams (1, 8), analyzer word, alpha 0.1 
MNB Accuracy 0.2721311475409836, with ngrams (1, 8), analyzer word, alpha 1.0 
MNB Accuracy 0.2262295081967213, with ngrams (1, 8), analyzer word, alpha 2 
MNB Accuracy 0.3016393442622951, with ngrams (1, 8), analyzer char, alpha 0.1 
MNB Accuracy 0.2098360655737705, with ngrams (1, 8), analyzer char, alpha 1.0 
MNB Accuracy 0.2098360655737705, with ngrams (1, 8), analyzer char, alpha 2 
MNB Accuracy 0.49508196721311476, with ngrams (2, 3), analyzer word, alpha 0.1 
MNB Accuracy 0.28852459016393445, with ngrams (2, 3), analyzer word, alpha 1.0 
MNB Accuracy 0.2262295081967213, with ngrams (2, 3), analyzer word, alpha 2 
MNB Accuracy 0.3475409836065574, with ngrams (2, 3), analyzer char, alpha 0.1 
MNB Accuracy 0.21311475409836064, with ngrams (2, 3), analyzer char, alpha 1.0 
MNB Accuracy 0.2098360655737705, with ngrams (2, 3), analyzer char, alpha 2 
