MNB Accuracy 0.6075085324232082, with ngrams (1, 1), analyzer word, alpha 0.1 
MNB Accuracy 0.4061433447098976, with ngrams (1, 1), analyzer word, alpha 1.0 
MNB Accuracy 0.39590443686006827, with ngrams (1, 1), analyzer word, alpha 2 
MNB Accuracy 0.32081911262798635, with ngrams (1, 1), analyzer char, alpha 0.1 
MNB Accuracy 0.27303754266211605, with ngrams (1, 1), analyzer char, alpha 1.0 
MNB Accuracy 0.2696245733788396, with ngrams (1, 1), analyzer char, alpha 2 
MNB Accuracy 0.552901023890785, with ngrams (1, 2), analyzer word, alpha 0.1 
MNB Accuracy 0.4232081911262799, with ngrams (1, 2), analyzer word, alpha 1.0 
MNB Accuracy 0.3651877133105802, with ngrams (1, 2), analyzer word, alpha 2 
MNB Accuracy 0.35494880546075086, with ngrams (1, 2), analyzer char, alpha 0.1 
MNB Accuracy 0.2764505119453925, with ngrams (1, 2), analyzer char, alpha 1.0 
MNB Accuracy 0.2696245733788396, with ngrams (1, 2), analyzer char, alpha 2 
MNB Accuracy 0.552901023890785, with ngrams (1, 3), analyzer word, alpha 0.1 
MNB Accuracy 0.4232081911262799, with ngrams (1, 3), analyzer word, alpha 1.0 
MNB Accuracy 0.3583617747440273, with ngrams (1, 3), analyzer word, alpha 2 
MNB Accuracy 0.3651877133105802, with ngrams (1, 3), analyzer char, alpha 0.1 
MNB Accuracy 0.27986348122866894, with ngrams (1, 3), analyzer char, alpha 1.0 
MNB Accuracy 0.2696245733788396, with ngrams (1, 3), analyzer char, alpha 2 
MNB Accuracy 0.552901023890785, with ngrams (1, 4), analyzer word, alpha 0.1 
MNB Accuracy 0.4129692832764505, with ngrams (1, 4), analyzer word, alpha 1.0 
MNB Accuracy 0.3515358361774744, with ngrams (1, 4), analyzer word, alpha 2 
MNB Accuracy 0.3856655290102389, with ngrams (1, 4), analyzer char, alpha 0.1 
MNB Accuracy 0.28668941979522183, with ngrams (1, 4), analyzer char, alpha 1.0 
MNB Accuracy 0.2764505119453925, with ngrams (1, 4), analyzer char, alpha 2 
MNB Accuracy 0.5392491467576792, with ngrams (1, 5), analyzer word, alpha 0.1 
MNB Accuracy 0.41638225255972694, with ngrams (1, 5), analyzer word, alpha 1.0 
MNB Accuracy 0.3378839590443686, with ngrams (1, 5), analyzer word, alpha 2 
MNB Accuracy 0.3993174061433447, with ngrams (1, 5), analyzer char, alpha 0.1 
MNB Accuracy 0.2901023890784983, with ngrams (1, 5), analyzer char, alpha 1.0 
MNB Accuracy 0.2832764505119454, with ngrams (1, 5), analyzer char, alpha 2 
MNB Accuracy 0.5392491467576792, with ngrams (1, 6), analyzer word, alpha 0.1 
MNB Accuracy 0.41638225255972694, with ngrams (1, 6), analyzer word, alpha 1.0 
MNB Accuracy 0.3310580204778157, with ngrams (1, 6), analyzer word, alpha 2 
MNB Accuracy 0.41638225255972694, with ngrams (1, 6), analyzer char, alpha 0.1 
MNB Accuracy 0.3003412969283277, with ngrams (1, 6), analyzer char, alpha 1.0 
MNB Accuracy 0.2832764505119454, with ngrams (1, 6), analyzer char, alpha 2 
MNB Accuracy 0.5426621160409556, with ngrams (1, 7), analyzer word, alpha 0.1 
MNB Accuracy 0.4129692832764505, with ngrams (1, 7), analyzer word, alpha 1.0 
MNB Accuracy 0.3310580204778157, with ngrams (1, 7), analyzer word, alpha 2 
MNB Accuracy 0.43686006825938567, with ngrams (1, 7), analyzer char, alpha 0.1 
MNB Accuracy 0.3003412969283277, with ngrams (1, 7), analyzer char, alpha 1.0 
MNB Accuracy 0.28668941979522183, with ngrams (1, 7), analyzer char, alpha 2 
MNB Accuracy 0.5426621160409556, with ngrams (1, 8), analyzer word, alpha 0.1 
MNB Accuracy 0.4061433447098976, with ngrams (1, 8), analyzer word, alpha 1.0 
MNB Accuracy 0.3242320819112628, with ngrams (1, 8), analyzer word, alpha 2 
MNB Accuracy 0.447098976109215, with ngrams (1, 8), analyzer char, alpha 0.1 
MNB Accuracy 0.3037542662116041, with ngrams (1, 8), analyzer char, alpha 1.0 
MNB Accuracy 0.2901023890784983, with ngrams (1, 8), analyzer char, alpha 2 
MNB Accuracy 0.5597269624573379, with ngrams (2, 3), analyzer word, alpha 0.1 
MNB Accuracy 0.39590443686006827, with ngrams (2, 3), analyzer word, alpha 1.0 
MNB Accuracy 0.3515358361774744, with ngrams (2, 3), analyzer word, alpha 2 
MNB Accuracy 0.4232081911262799, with ngrams (2, 3), analyzer char, alpha 0.1 
MNB Accuracy 0.29692832764505117, with ngrams (2, 3), analyzer char, alpha 1.0 
MNB Accuracy 0.27986348122866894, with ngrams (2, 3), analyzer char, alpha 2 
