,accuracy,alpha,analyzer,ngram_range
0,0.6101694915254238,0.1,word,"(1, 1)"
1,0.6033898305084746,1.0,word,"(1, 1)"
2,0.6022598870056497,2.0,word,"(1, 1)"
3,0.6045197740112994,0.1,char,"(1, 1)"
4,0.6033898305084746,1.0,char,"(1, 1)"
5,0.6022598870056497,2.0,char,"(1, 1)"
6,0.615819209039548,0.1,word,"(1, 2)"
7,0.5988700564971752,1.0,word,"(1, 2)"
8,0.5988700564971752,2.0,word,"(1, 2)"
9,0.6033898305084746,0.1,char,"(1, 2)"
10,0.6,1.0,char,"(1, 2)"
11,0.5988700564971752,2.0,char,"(1, 2)"
12,0.607909604519774,0.1,word,"(1, 3)"
13,0.5988700564971752,1.0,word,"(1, 3)"
14,0.5988700564971752,2.0,word,"(1, 3)"
15,0.5966101694915255,0.1,char,"(1, 3)"
16,0.5988700564971752,1.0,char,"(1, 3)"
17,0.5988700564971752,2.0,char,"(1, 3)"
18,0.6067796610169491,0.1,word,"(1, 4)"
19,0.5988700564971752,1.0,word,"(1, 4)"
20,0.5988700564971752,2.0,word,"(1, 4)"
21,0.5988700564971752,0.1,char,"(1, 4)"
22,0.5988700564971752,1.0,char,"(1, 4)"
23,0.5988700564971752,2.0,char,"(1, 4)"
24,0.6022598870056497,0.1,word,"(1, 5)"
25,0.5988700564971752,1.0,word,"(1, 5)"
26,0.5988700564971752,2.0,word,"(1, 5)"
27,0.6,0.1,char,"(1, 5)"
28,0.5988700564971752,1.0,char,"(1, 5)"
29,0.5988700564971752,2.0,char,"(1, 5)"
30,0.6,0.1,word,"(1, 6)"
31,0.5988700564971752,1.0,word,"(1, 6)"
32,0.5988700564971752,2.0,word,"(1, 6)"
33,0.5988700564971752,0.1,char,"(1, 6)"
34,0.5988700564971752,1.0,char,"(1, 6)"
35,0.5988700564971752,2.0,char,"(1, 6)"
36,0.6,0.1,word,"(1, 7)"
37,0.5988700564971752,1.0,word,"(1, 7)"
38,0.5988700564971752,2.0,word,"(1, 7)"
39,0.5988700564971752,0.1,char,"(1, 7)"
40,0.5988700564971752,1.0,char,"(1, 7)"
41,0.5988700564971752,2.0,char,"(1, 7)"
42,0.5977401129943503,0.1,word,"(1, 8)"
43,0.5988700564971752,1.0,word,"(1, 8)"
44,0.5988700564971752,2.0,word,"(1, 8)"
45,0.5988700564971752,0.1,char,"(1, 8)"
46,0.5988700564971752,1.0,char,"(1, 8)"
47,0.5988700564971752,2.0,char,"(1, 8)"
48,0.6112994350282486,0.1,word,"(2, 3)"
49,0.5988700564971752,1.0,word,"(2, 3)"
50,0.5988700564971752,2.0,word,"(2, 3)"
51,0.607909604519774,0.1,char,"(2, 3)"
52,0.5943502824858757,1.0,char,"(2, 3)"
53,0.5988700564971752,2.0,char,"(2, 3)"
