,accuracy,alpha,analyzer,ngram_range
0,0.6095444685466378,0.1,word,"(1, 1)"
1,0.6203904555314533,1.0,word,"(1, 1)"
2,0.6203904555314533,2.0,word,"(1, 1)"
3,0.6203904555314533,0.1,char,"(1, 1)"
4,0.6203904555314533,1.0,char,"(1, 1)"
5,0.6203904555314533,2.0,char,"(1, 1)"
6,0.6182212581344902,0.1,word,"(1, 2)"
7,0.6203904555314533,1.0,word,"(1, 2)"
8,0.6203904555314533,2.0,word,"(1, 2)"
9,0.6203904555314533,0.1,char,"(1, 2)"
10,0.6203904555314533,1.0,char,"(1, 2)"
11,0.6203904555314533,2.0,char,"(1, 2)"
12,0.6203904555314533,0.1,word,"(1, 3)"
13,0.6203904555314533,1.0,word,"(1, 3)"
14,0.6203904555314533,2.0,word,"(1, 3)"
15,0.6203904555314533,0.1,char,"(1, 3)"
16,0.6203904555314533,1.0,char,"(1, 3)"
17,0.6203904555314533,2.0,char,"(1, 3)"
18,0.6193058568329718,0.1,word,"(1, 4)"
19,0.6203904555314533,1.0,word,"(1, 4)"
20,0.6203904555314533,2.0,word,"(1, 4)"
21,0.6203904555314533,0.1,char,"(1, 4)"
22,0.6203904555314533,1.0,char,"(1, 4)"
23,0.6203904555314533,2.0,char,"(1, 4)"
24,0.6193058568329718,0.1,word,"(1, 5)"
25,0.6203904555314533,1.0,word,"(1, 5)"
26,0.6203904555314533,2.0,word,"(1, 5)"
27,0.6203904555314533,0.1,char,"(1, 5)"
28,0.6203904555314533,1.0,char,"(1, 5)"
29,0.6203904555314533,2.0,char,"(1, 5)"
30,0.6193058568329718,0.1,word,"(1, 6)"
31,0.6203904555314533,1.0,word,"(1, 6)"
32,0.6203904555314533,2.0,word,"(1, 6)"
33,0.6203904555314533,0.1,char,"(1, 6)"
34,0.6203904555314533,1.0,char,"(1, 6)"
35,0.6203904555314533,2.0,char,"(1, 6)"
36,0.6193058568329718,0.1,word,"(1, 7)"
37,0.6203904555314533,1.0,word,"(1, 7)"
38,0.6203904555314533,2.0,word,"(1, 7)"
39,0.6203904555314533,0.1,char,"(1, 7)"
40,0.6203904555314533,1.0,char,"(1, 7)"
41,0.6203904555314533,2.0,char,"(1, 7)"
42,0.6193058568329718,0.1,word,"(1, 8)"
43,0.6203904555314533,1.0,word,"(1, 8)"
44,0.6203904555314533,2.0,word,"(1, 8)"
45,0.6203904555314533,0.1,char,"(1, 8)"
46,0.6203904555314533,1.0,char,"(1, 8)"
47,0.6203904555314533,2.0,char,"(1, 8)"
48,0.6127982646420824,0.1,word,"(2, 3)"
49,0.6203904555314533,1.0,word,"(2, 3)"
50,0.6203904555314533,2.0,word,"(2, 3)"
51,0.6203904555314533,0.1,char,"(2, 3)"
52,0.6203904555314533,1.0,char,"(2, 3)"
53,0.6203904555314533,2.0,char,"(2, 3)"
