,accuracy,alpha,analyzer,ngram_range
0,0.2632768361581921,0.1,word,"(1, 1)"
1,0.24745762711864408,1.0,word,"(1, 1)"
2,0.2497175141242938,2.0,word,"(1, 1)"
3,0.25649717514124293,0.1,char,"(1, 1)"
4,0.25310734463276835,1.0,char,"(1, 1)"
5,0.25084745762711863,2.0,char,"(1, 1)"
6,0.2621468926553672,0.1,word,"(1, 2)"
7,0.2497175141242938,1.0,word,"(1, 2)"
8,0.2497175141242938,2.0,word,"(1, 2)"
9,0.26101694915254237,0.1,char,"(1, 2)"
10,0.2497175141242938,1.0,char,"(1, 2)"
11,0.2497175141242938,2.0,char,"(1, 2)"
12,0.25875706214689265,0.1,word,"(1, 3)"
13,0.2497175141242938,1.0,word,"(1, 3)"
14,0.2497175141242938,2.0,word,"(1, 3)"
15,0.25875706214689265,0.1,char,"(1, 3)"
16,0.2497175141242938,1.0,char,"(1, 3)"
17,0.2497175141242938,2.0,char,"(1, 3)"
18,0.25875706214689265,0.1,word,"(1, 4)"
19,0.2497175141242938,1.0,word,"(1, 4)"
20,0.2497175141242938,2.0,word,"(1, 4)"
21,0.25310734463276835,0.1,char,"(1, 4)"
22,0.2497175141242938,1.0,char,"(1, 4)"
23,0.2497175141242938,2.0,char,"(1, 4)"
24,0.25875706214689265,0.1,word,"(1, 5)"
25,0.2497175141242938,1.0,word,"(1, 5)"
26,0.2497175141242938,2.0,word,"(1, 5)"
27,0.2497175141242938,0.1,char,"(1, 5)"
28,0.2497175141242938,1.0,char,"(1, 5)"
29,0.2497175141242938,2.0,char,"(1, 5)"
30,0.25875706214689265,0.1,word,"(1, 6)"
31,0.2497175141242938,1.0,word,"(1, 6)"
32,0.2497175141242938,2.0,word,"(1, 6)"
33,0.2497175141242938,0.1,char,"(1, 6)"
34,0.2497175141242938,1.0,char,"(1, 6)"
35,0.2497175141242938,2.0,char,"(1, 6)"
36,0.2576271186440678,0.1,word,"(1, 7)"
37,0.2497175141242938,1.0,word,"(1, 7)"
38,0.2497175141242938,2.0,word,"(1, 7)"
39,0.2497175141242938,0.1,char,"(1, 7)"
40,0.2497175141242938,1.0,char,"(1, 7)"
41,0.2497175141242938,2.0,char,"(1, 7)"
42,0.25649717514124293,0.1,word,"(1, 8)"
43,0.2497175141242938,1.0,word,"(1, 8)"
44,0.2497175141242938,2.0,word,"(1, 8)"
45,0.2497175141242938,0.1,char,"(1, 8)"
46,0.2497175141242938,1.0,char,"(1, 8)"
47,0.2497175141242938,2.0,char,"(1, 8)"
48,0.2632768361581921,0.1,word,"(2, 3)"
49,0.2497175141242938,1.0,word,"(2, 3)"
50,0.2497175141242938,2.0,word,"(2, 3)"
51,0.26440677966101694,0.1,char,"(2, 3)"
52,0.2497175141242938,1.0,char,"(2, 3)"
53,0.2497175141242938,2.0,char,"(2, 3)"
