,accuracy,alpha,analyzer,ngram_range
0,0.21366594360086769,0.1,word,"(1, 1)"
1,0.19739696312364424,1.0,word,"(1, 1)"
2,0.2039045553145336,2.0,word,"(1, 1)"
3,0.20607375271149675,0.1,char,"(1, 1)"
4,0.20607375271149675,1.0,char,"(1, 1)"
5,0.20607375271149675,2.0,char,"(1, 1)"
6,0.19522776572668113,0.1,word,"(1, 2)"
7,0.20607375271149675,1.0,word,"(1, 2)"
8,0.20498915401301518,2.0,word,"(1, 2)"
9,0.20498915401301518,0.1,char,"(1, 2)"
10,0.20607375271149675,1.0,char,"(1, 2)"
11,0.20607375271149675,2.0,char,"(1, 2)"
12,0.19088937093275488,0.1,word,"(1, 3)"
13,0.20498915401301518,1.0,word,"(1, 3)"
14,0.20607375271149675,2.0,word,"(1, 3)"
15,0.20607375271149675,0.1,char,"(1, 3)"
16,0.20607375271149675,1.0,char,"(1, 3)"
17,0.20607375271149675,2.0,char,"(1, 3)"
18,0.19197396963123645,0.1,word,"(1, 4)"
19,0.20498915401301518,1.0,word,"(1, 4)"
20,0.20607375271149675,2.0,word,"(1, 4)"
21,0.20607375271149675,0.1,char,"(1, 4)"
22,0.20607375271149675,1.0,char,"(1, 4)"
23,0.20607375271149675,2.0,char,"(1, 4)"
24,0.19305856832971802,0.1,word,"(1, 5)"
25,0.20498915401301518,1.0,word,"(1, 5)"
26,0.20607375271149675,2.0,word,"(1, 5)"
27,0.20607375271149675,0.1,char,"(1, 5)"
28,0.20607375271149675,1.0,char,"(1, 5)"
29,0.20607375271149675,2.0,char,"(1, 5)"
30,0.1963123644251627,0.1,word,"(1, 6)"
31,0.20498915401301518,1.0,word,"(1, 6)"
32,0.20607375271149675,2.0,word,"(1, 6)"
33,0.20607375271149675,0.1,char,"(1, 6)"
34,0.20607375271149675,1.0,char,"(1, 6)"
35,0.20607375271149675,2.0,char,"(1, 6)"
36,0.1984815618221258,0.1,word,"(1, 7)"
37,0.20607375271149675,1.0,word,"(1, 7)"
38,0.20607375271149675,2.0,word,"(1, 7)"
39,0.20607375271149675,0.1,char,"(1, 7)"
40,0.20607375271149675,1.0,char,"(1, 7)"
41,0.20607375271149675,2.0,char,"(1, 7)"
42,0.19739696312364424,0.1,word,"(1, 8)"
43,0.20607375271149675,1.0,word,"(1, 8)"
44,0.20607375271149675,2.0,word,"(1, 8)"
45,0.20607375271149675,0.1,char,"(1, 8)"
46,0.20607375271149675,1.0,char,"(1, 8)"
47,0.20607375271149675,2.0,char,"(1, 8)"
48,0.1984815618221258,0.1,word,"(2, 3)"
49,0.20281995661605207,1.0,word,"(2, 3)"
50,0.20498915401301518,2.0,word,"(2, 3)"
51,0.20715835140997832,0.1,char,"(2, 3)"
52,0.20607375271149675,1.0,char,"(2, 3)"
53,0.20607375271149675,2.0,char,"(2, 3)"
