,accuracy,alpha,analyzer,ngram_range
0,0.839344262295082,0.1,word,"(1, 1)"
1,0.6131147540983607,1.0,word,"(1, 1)"
2,0.5868852459016394,2.0,word,"(1, 1)"
3,0.5836065573770491,0.1,char,"(1, 1)"
4,0.580327868852459,1.0,char,"(1, 1)"
5,0.580327868852459,2.0,char,"(1, 1)"
6,0.7704918032786885,0.1,word,"(1, 2)"
7,0.5868852459016394,1.0,word,"(1, 2)"
8,0.580327868852459,2.0,word,"(1, 2)"
9,0.5901639344262295,0.1,char,"(1, 2)"
10,0.580327868852459,1.0,char,"(1, 2)"
11,0.580327868852459,2.0,char,"(1, 2)"
12,0.740983606557377,0.1,word,"(1, 3)"
13,0.5836065573770491,1.0,word,"(1, 3)"
14,0.580327868852459,2.0,word,"(1, 3)"
15,0.6131147540983607,0.1,char,"(1, 3)"
16,0.580327868852459,1.0,char,"(1, 3)"
17,0.580327868852459,2.0,char,"(1, 3)"
18,0.7049180327868853,0.1,word,"(1, 4)"
19,0.5836065573770491,1.0,word,"(1, 4)"
20,0.580327868852459,2.0,word,"(1, 4)"
21,0.6065573770491803,0.1,char,"(1, 4)"
22,0.580327868852459,1.0,char,"(1, 4)"
23,0.580327868852459,2.0,char,"(1, 4)"
24,0.6852459016393443,0.1,word,"(1, 5)"
25,0.580327868852459,1.0,word,"(1, 5)"
26,0.580327868852459,2.0,word,"(1, 5)"
27,0.5934426229508196,0.1,char,"(1, 5)"
28,0.580327868852459,1.0,char,"(1, 5)"
29,0.580327868852459,2.0,char,"(1, 5)"
30,0.6622950819672131,0.1,word,"(1, 6)"
31,0.5836065573770491,1.0,word,"(1, 6)"
32,0.580327868852459,2.0,word,"(1, 6)"
33,0.5868852459016394,0.1,char,"(1, 6)"
34,0.580327868852459,1.0,char,"(1, 6)"
35,0.580327868852459,2.0,char,"(1, 6)"
36,0.6524590163934426,0.1,word,"(1, 7)"
37,0.5836065573770491,1.0,word,"(1, 7)"
38,0.580327868852459,2.0,word,"(1, 7)"
39,0.5868852459016394,0.1,char,"(1, 7)"
40,0.580327868852459,1.0,char,"(1, 7)"
41,0.580327868852459,2.0,char,"(1, 7)"
42,0.6491803278688525,0.1,word,"(1, 8)"
43,0.5868852459016394,1.0,word,"(1, 8)"
44,0.580327868852459,2.0,word,"(1, 8)"
45,0.5868852459016394,0.1,char,"(1, 8)"
46,0.580327868852459,1.0,char,"(1, 8)"
47,0.580327868852459,2.0,char,"(1, 8)"
48,0.7836065573770492,0.1,word,"(2, 3)"
49,0.5967213114754099,1.0,word,"(2, 3)"
50,0.580327868852459,2.0,word,"(2, 3)"
51,0.8,0.1,char,"(2, 3)"
52,0.580327868852459,1.0,char,"(2, 3)"
53,0.580327868852459,2.0,char,"(2, 3)"
