,accuracy,alpha,analyzer,ngram_range
0,0.8805460750853242,0.1,word,"(1, 1)"
1,0.6416382252559727,1.0,word,"(1, 1)"
2,0.6006825938566553,2.0,word,"(1, 1)"
3,0.6143344709897611,0.1,char,"(1, 1)"
4,0.5733788395904437,1.0,char,"(1, 1)"
5,0.5665529010238908,2.0,char,"(1, 1)"
6,0.7986348122866894,0.1,word,"(1, 2)"
7,0.6313993174061433,1.0,word,"(1, 2)"
8,0.6006825938566553,2.0,word,"(1, 2)"
9,0.6655290102389079,0.1,char,"(1, 2)"
10,0.5733788395904437,1.0,char,"(1, 2)"
11,0.5665529010238908,2.0,char,"(1, 2)"
12,0.7849829351535836,0.1,word,"(1, 3)"
13,0.6348122866894198,1.0,word,"(1, 3)"
14,0.6040955631399317,2.0,word,"(1, 3)"
15,0.6655290102389079,0.1,char,"(1, 3)"
16,0.5665529010238908,1.0,char,"(1, 3)"
17,0.5631399317406144,2.0,char,"(1, 3)"
18,0.7815699658703071,0.1,word,"(1, 4)"
19,0.6484641638225256,1.0,word,"(1, 4)"
20,0.6075085324232082,2.0,word,"(1, 4)"
21,0.6552901023890785,0.1,char,"(1, 4)"
22,0.5699658703071673,1.0,char,"(1, 4)"
23,0.5665529010238908,2.0,char,"(1, 4)"
24,0.7781569965870307,0.1,word,"(1, 5)"
25,0.6484641638225256,1.0,word,"(1, 5)"
26,0.6075085324232082,2.0,word,"(1, 5)"
27,0.6552901023890785,0.1,char,"(1, 5)"
28,0.5699658703071673,1.0,char,"(1, 5)"
29,0.5699658703071673,2.0,char,"(1, 5)"
30,0.7679180887372014,0.1,word,"(1, 6)"
31,0.6484641638225256,1.0,word,"(1, 6)"
32,0.6109215017064846,2.0,word,"(1, 6)"
33,0.6655290102389079,0.1,char,"(1, 6)"
34,0.5699658703071673,1.0,char,"(1, 6)"
35,0.5699658703071673,2.0,char,"(1, 6)"
36,0.764505119453925,0.1,word,"(1, 7)"
37,0.6484641638225256,1.0,word,"(1, 7)"
38,0.6109215017064846,2.0,word,"(1, 7)"
39,0.6791808873720137,0.1,char,"(1, 7)"
40,0.5699658703071673,1.0,char,"(1, 7)"
41,0.5699658703071673,2.0,char,"(1, 7)"
42,0.7610921501706485,0.1,word,"(1, 8)"
43,0.6484641638225256,1.0,word,"(1, 8)"
44,0.6109215017064846,2.0,word,"(1, 8)"
45,0.689419795221843,0.1,char,"(1, 8)"
46,0.590443686006826,1.0,char,"(1, 8)"
47,0.5699658703071673,2.0,char,"(1, 8)"
48,0.8088737201365188,0.1,word,"(2, 3)"
49,0.6757679180887372,1.0,word,"(2, 3)"
50,0.6279863481228669,2.0,word,"(2, 3)"
51,0.7474402730375427,0.1,char,"(2, 3)"
52,0.5767918088737202,1.0,char,"(2, 3)"
53,0.5631399317406144,2.0,char,"(2, 3)"
