,accuracy,alpha,analyzer,ngram_range
0,0.6075085324232082,0.1,word,"(1, 1)"
1,0.4061433447098976,1.0,word,"(1, 1)"
2,0.39590443686006827,2.0,word,"(1, 1)"
3,0.32081911262798635,0.1,char,"(1, 1)"
4,0.27303754266211605,1.0,char,"(1, 1)"
5,0.2696245733788396,2.0,char,"(1, 1)"
6,0.552901023890785,0.1,word,"(1, 2)"
7,0.4232081911262799,1.0,word,"(1, 2)"
8,0.3651877133105802,2.0,word,"(1, 2)"
9,0.35494880546075086,0.1,char,"(1, 2)"
10,0.2764505119453925,1.0,char,"(1, 2)"
11,0.2696245733788396,2.0,char,"(1, 2)"
12,0.552901023890785,0.1,word,"(1, 3)"
13,0.4232081911262799,1.0,word,"(1, 3)"
14,0.3583617747440273,2.0,word,"(1, 3)"
15,0.3651877133105802,0.1,char,"(1, 3)"
16,0.27986348122866894,1.0,char,"(1, 3)"
17,0.2696245733788396,2.0,char,"(1, 3)"
18,0.552901023890785,0.1,word,"(1, 4)"
19,0.4129692832764505,1.0,word,"(1, 4)"
20,0.3515358361774744,2.0,word,"(1, 4)"
21,0.3856655290102389,0.1,char,"(1, 4)"
22,0.28668941979522183,1.0,char,"(1, 4)"
23,0.2764505119453925,2.0,char,"(1, 4)"
24,0.5392491467576792,0.1,word,"(1, 5)"
25,0.41638225255972694,1.0,word,"(1, 5)"
26,0.3378839590443686,2.0,word,"(1, 5)"
27,0.3993174061433447,0.1,char,"(1, 5)"
28,0.2901023890784983,1.0,char,"(1, 5)"
29,0.2832764505119454,2.0,char,"(1, 5)"
30,0.5392491467576792,0.1,word,"(1, 6)"
31,0.41638225255972694,1.0,word,"(1, 6)"
32,0.3310580204778157,2.0,word,"(1, 6)"
33,0.41638225255972694,0.1,char,"(1, 6)"
34,0.3003412969283277,1.0,char,"(1, 6)"
35,0.2832764505119454,2.0,char,"(1, 6)"
36,0.5426621160409556,0.1,word,"(1, 7)"
37,0.4129692832764505,1.0,word,"(1, 7)"
38,0.3310580204778157,2.0,word,"(1, 7)"
39,0.43686006825938567,0.1,char,"(1, 7)"
40,0.3003412969283277,1.0,char,"(1, 7)"
41,0.28668941979522183,2.0,char,"(1, 7)"
42,0.5426621160409556,0.1,word,"(1, 8)"
43,0.4061433447098976,1.0,word,"(1, 8)"
44,0.3242320819112628,2.0,word,"(1, 8)"
45,0.447098976109215,0.1,char,"(1, 8)"
46,0.3037542662116041,1.0,char,"(1, 8)"
47,0.2901023890784983,2.0,char,"(1, 8)"
48,0.5597269624573379,0.1,word,"(2, 3)"
49,0.39590443686006827,1.0,word,"(2, 3)"
50,0.3515358361774744,2.0,word,"(2, 3)"
51,0.4232081911262799,0.1,char,"(2, 3)"
52,0.29692832764505117,1.0,char,"(2, 3)"
53,0.27986348122866894,2.0,char,"(2, 3)"
